Plasmids	Term	TMP	MCP	ParA	ParM	XerC
NZ_CP009639.1	-	+	-	+	-	+	
NZ_CP009638.1	+	+	+	+	-	+	
NZ_CP009637.1	+	+	+	-	+	-	
NZ_CP009636.1	-	+	-	+	-	+	
NZ_CP009635.1	-	-	-	-	-	-	
NZ_CP009634.1	-	-	-	-	-	-	
NZ_CP009592.1	-	+	-	+	-	+	
NZ_CP009591.1	-	+	-	+	-	+	
NZ_CP009368.1	-	+	+	-	-	+	
NZ_CP009589.1	+	+	+	+	-	+	
NZ_CP009970.1	-	-	-	-	-	-	
NZ_CP009969.1	-	-	-	-	-	+	
NZ_CP009299.1	-	+	-	+	-	+	
NZ_CP009967.1	-	+	-	+	-	+	
NZ_CP009966.1	-	-	-	+	-	+	
NZ_CP009965.1	-	-	-	-	-	-	
NZ_CP009627.1	-	-	-	+	-	+	
NZ_CP009317.1	-	+	-	+	-	+	
NZ_CP009940.1	-	+	-	+	-	+	
NZ_CP009939.1	+	+	+	+	-	+	
NZ_CP027927.1	-	-	-	-	-	-	
NZ_CP027926.1	-	-	-	-	-	-	
NZ_CP027925.1	-	-	-	-	-	-	
NZ_CP027924.1	-	+	-	-	-	+	
NZ_CP027921.1	+	+	-	+	-	+	
NZ_CP028017.1	-	-	-	-	-	-	
NZ_CP028016.1	-	-	-	-	-	-	
NZ_CP028011.1	-	-	-	-	-	-	
NZ_CP028010.1	-	-	-	+	-	+	
CP028017.1	-	-	-	-	-	-	
CP028016.1	-	-	-	-	-	-	
CP028011.1	-	-	-	-	-	-	
CP028010.1	-	-	-	+	-	+	
CP027927.1	-	-	-	-	-	-	
CP027926.1	-	-	-	-	-	-	
CP027925.1	-	-	-	-	-	-	
CP027924.1	-	+	-	-	-	+	
NZ_PHQW02000016.1	-	-	-	+	-	+	
NZ_PHQW02000015.1	-	+	-	+	-	+	
NZ_CP024658.1	-	+	-	+	-	-	
NZ_CP024657.1	-	+	-	+	+	+	
NZ_CP024656.1	-	+	-	+	-	+	
NZ_CP022448.1	-	-	-	-	-	+	
NZ_CP022447.1	-	-	-	-	-	+	
NZ_CP022446.1	+	+	+	+	-	+	
NZ_CP023183.1	-	-	-	-	-	-	
NZ_CP023182.1	-	-	-	-	-	-	
NZ_CP023181.1	-	-	-	-	-	-	
NZ_CP023180.1	-	-	-	-	-	-	
NZ_CP018742.1	-	+	-	+	-	+	
NZ_CP018741.1	-	+	-	-	-	+	
NZ_CP016363.1	-	-	-	-	-	-	
NZ_CP016362.1	-	-	-	-	-	+	
NZ_CP016361.1	-	+	-	+	-	+	
NZ_CP016597.1	+	+	+	+	-	-	
NZ_CP016596.1	-	-	-	-	-	+	
NZ_CP016317.1	-	-	+	+	-	+	
NZ_CP040343.1	+	+	-	+	-	+	
NZ_CP040335.1	+	+	+	-	-	+	
NZ_CP045610.2	-	-	-	-	-	+	
NZ_CP045609.2	-	-	-	-	-	+	
NZ_CP045608.2	-	-	-	+	-	+	
NZ_CP045607.2	+	+	-	+	-	+	
NZ_CP040341.1	-	+	-	+	-	+	
NZ_CP020941.1	-	+	-	+	-	+	
NZ_CP020940.1	-	+	-	+	-	+	
NZ_CP020939.1	+	+	+	+	-	-	
NZ_CP020938.1	+	+	+	-	-	+	
NC_012473.1	-	+	-	+	-	+	
NC_011777.1	-	+	-	+	-	+	
NC_011776.1	-	-	-	-	-	-	
NC_011775.1	-	+	-	+	-	+	
NC_011774.1	-	-	-	-	+	-	
NC_011771.1	-	-	-	-	-	-	
NC_011655.1	-	+	+	+	-	+	
NC_011657.1	-	-	-	-	-	-	
NC_011656.1	-	+	-	-	-	+	
NC_011654.1	-	-	-	-	-	-	
CP046512.1	-	+	-	+	-	+	
NZ_CP018936.1	-	+	-	+	-	+	
NZ_CP018932.1	-	+	-	+	-	+	
NZ_CP018934.1	-	+	-	+	-	+	
NZ_CP011154.1	+	+	-	+	-	+	
NZ_CP011152.1	+	+	-	+	-	+	
NZ_CP011157.1	-	+	-	+	-	+	
NZ_CP011156.1	-	+	-	-	-	+	
NZ_CP011146.1	+	-	-	+	-	+	
NC_018494.1	-	-	-	-	-	-	
NC_018499.1	-	-	-	+	-	+	
NC_018492.1	-	+	+	+	-	+	
NC_018493.1	-	+	-	+	-	+	
CP045610.2	-	-	-	-	-	+	
CP045609.2	-	-	-	-	-	+	
CP045608.2	-	-	-	+	-	+	
CP045607.2	+	+	-	+	-	+	
NZ_CP026679.1	-	-	-	-	-	-	
NZ_CP015730.1	-	-	-	-	-	+	
NZ_CP015729.1	-	-	-	-	-	-	
NZ_CP015728.1	+	+	+	+	-	-	
NC_014331.1	-	+	-	+	-	+	
NC_014332.1	-	+	-	+	-	+	
NC_014333.1	+	+	-	+	-	-	
NC_011973.1	-	+	-	+	-	+	
NC_011971.1	+	+	+	+	+	-	
NZ_CP042928.1	-	+	-	+	-	+	
CP042876.1	-	-	-	-	-	-	
CP042875.1	-	+	-	+	-	+	
NZ_LOJQ01000131.1	-	+	-	+	-	+	
NZ_LOJQ01000130.1	-	-	-	+	-	-	
NZ_LOJQ01000128.1	-	+	-	+	-	-	
NZ_LOJQ01000126.1	-	-	-	-	-	+	
NZ_LOJQ01000118.1	-	-	-	+	-	-	
NZ_LOJQ01000116.1	-	-	-	+	-	-	
NZ_LOJQ01000115.1	-	-	-	-	-	-	
NZ_MUBB01000067.1	-	-	-	-	-	-	
NZ_MUBB01000061.1	-	-	-	-	-	-	
NZ_MUBB01000060.1	-	-	-	-	-	-	
NZ_MUBB01000049.1	-	-	-	+	-	-	
NZ_MUBB01000044.1	-	-	-	-	-	-	
NZ_MUBB01000041.1	-	-	-	-	-	+	
NZ_MUBB01000033.1	-	-	-	-	-	+	
NZ_MUBB01000028.1	-	+	-	+	-	-	
NZ_MSMO01000007.1	-	+	-	+	-	+	
NZ_LYVD01000054.1	-	-	-	-	-	-	
NZ_LYVD01000053.1	-	-	-	-	-	-	
NZ_LYVD01000052.1	-	-	-	-	-	-	
NZ_LYVD01000051.1	-	-	-	-	-	-	
NZ_LYVD01000050.1	-	-	-	-	-	-	
NZ_LYVD01000049.1	-	-	-	-	-	-	
NZ_LYVD01000048.1	-	-	-	-	-	+	
NZ_LYVD01000047.1	-	+	-	+	-	-	
NZ_LYVD01000046.1	-	-	-	-	-	+	
NZ_LYVD01000045.1	-	-	-	-	-	+	
NZ_LYVD01000044.1	-	-	-	-	-	-	
NZ_LYVD01000043.1	-	-	-	-	-	-	
NZ_LYVD01000042.1	-	-	-	-	-	-	
NZ_LYVD01000041.1	-	-	-	-	-	-	
NZ_LYVD01000040.1	-	-	-	-	-	-	
NZ_LYVD01000039.1	-	-	-	-	-	-	
NZ_LYVD01000038.1	-	-	-	-	-	-	
NZ_LYVD01000037.1	-	-	-	-	-	-	
NZ_LYVD01000036.1	-	-	-	-	-	-	
NZ_LYVD01000035.1	-	-	-	+	-	-	
NZ_LYVD01000034.1	-	-	-	-	-	-	
NZ_LYVD01000033.1	-	-	-	-	-	-	
NZ_LYVD01000032.1	-	-	-	-	-	-	
NZ_LYVD01000031.1	-	-	-	-	-	-	
NZ_LYVD01000030.1	-	-	-	-	-	-	
NZ_LYVD01000029.1	-	-	-	-	-	-	
NZ_LYVD01000028.1	-	-	-	-	-	-	
NZ_LYVD01000027.1	-	-	-	-	-	-	
NZ_LYVD01000026.1	+	+	-	-	-	+	
NZ_LYVD01000025.1	-	-	-	-	-	-	
NZ_LYVD01000024.1	-	-	-	-	-	-	
NZ_ABDA02000037.1	-	-	-	-	-	+	
NZ_ABDA02000036.1	-	-	-	-	-	+	
NZ_ABDA02000035.1	+	+	+	+	-	+	
CP034552.1	-	-	+	-	-	-	
MG891800.1	-	-	-	-	-	-	
PHQW02000016.1	-	-	-	+	-	+	
CP026679.1	-	-	-	-	-	-	
CP023183.1	-	-	-	-	-	-	
CP016363.1	-	-	-	-	-	-	
CP016362.1	-	-	-	-	-	+	
CP016597.1	+	+	+	+	-	-	
CP020941.1	-	+	-	+	-	+	
CP020939.1	+	+	+	+	-	-	
CP020938.1	+	+	+	-	-	+	
CP014487.1	+	+	+	+	+	-	
CP001178.1	-	-	-	-	-	-	
CP009606.1	-	+	-	+	-	+	
CP009603.1	+	+	+	+	-	-	
CP009967.1	-	+	-	+	-	+	
CP009966.1	-	-	-	+	-	+	
CP009640.1	-	+	-	+	-	+	
CP009638.1	+	+	+	+	-	+	
CP009635.1	-	-	-	-	-	-	
CP009627.1	-	-	-	+	-	+	
CP009591.1	-	+	-	+	-	+	
CP009589.1	+	+	+	+	-	+	
CP009368.1	-	+	+	-	-	+	
CP009940.1	-	+	-	+	-	+	
CP009939.1	+	+	+	+	-	+	
CP003750.1	-	-	-	+	-	+	
CP003188.1	+	+	+	+	-	-	
JN112796.1	-	-	-	-	-	-	
JN112795.1	-	-	-	-	-	-	
CP001749.1	+	+	-	+	-	-	
GU324768.1	-	-	-	-	-	-	
GQ118149.1	-	-	-	-	-	-	
LYVD01000024.1	-	-	-	-	-	-	
LYVD01000025.1	-	-	-	-	-	-	
LYVD01000026.1	-	+	-	-	-	+	
LYVD01000027.1	-	-	-	-	-	-	
LYVD01000028.1	-	-	-	-	-	+	
LYVD01000029.1	-	-	-	-	-	-	
LYVD01000030.1	-	-	-	-	-	-	
LYVD01000031.1	-	-	-	-	-	-	
LYVD01000032.1	-	-	-	-	-	-	
LYVD01000033.1	-	-	-	-	-	-	
LYVD01000034.1	-	-	-	-	-	-	
LYVD01000035.1	-	-	-	+	-	-	
LYVD01000036.1	-	-	-	-	-	-	
LYVD01000037.1	-	-	-	-	-	-	
LYVD01000038.1	-	-	-	-	-	-	
LYVD01000039.1	-	-	-	-	-	-	
LYVD01000040.1	-	-	-	-	-	-	
LYVD01000042.1	-	-	-	-	-	-	
LYVD01000043.1	-	-	-	-	-	-	
LYVD01000044.1	-	-	-	-	-	-	
LYVD01000045.1	-	-	-	-	-	+	
LYVD01000046.1	-	-	-	-	-	+	
LYVD01000048.1	-	-	-	-	-	+	
LYVD01000049.1	-	-	-	-	-	-	
LYVD01000050.1	-	-	-	-	-	-	
LYVD01000051.1	-	-	-	-	-	-	
LYVD01000052.1	-	-	-	-	-	-	
LYVD01000053.1	-	-	-	-	-	-	
LYVD01000054.1	-	-	-	-	-	-	
CP015728.1	+	+	+	+	-	-	
CP011157.1	-	+	-	+	-	+	
CP011156.1	-	+	-	-	-	+	
CP011146.1	+	-	-	+	-	+	
CP009595.1	-	+	-	+	-	+	
CP009594.1	+	+	+	+	-	-	
NC_014757.1	-	-	-	+	-	+	
NC_010924.1	-	+	-	+	-	+	
JPYN01000061.1	-	-	-	+	-	-	
JPYN01000062.1	-	-	-	-	-	-	
JPYN01000063.1	-	-	-	+	-	-	
JPYN01000064.1	-	-	-	-	-	-	
JPYN01000065.1	-	-	-	-	-	-	
JPYN01000066.1	-	-	-	-	-	-	
JPYN01000067.1	-	-	-	-	-	-	
AAEK01000004.1	-	+	-	+	-	+	
ABCZ02000100.1	+	+	+	+	-	-	
ABDK02000071.1	+	+	+	+	-	-	
ABDA02000036.1	-	-	-	-	-	+	
ABDA02000037.1	-	-	-	-	-	+	
Y17748.1	-	-	-	+	-	-	
AAEK01000020.1	-	-	-	-	-	+	
Y17749.1	-	-	-	-	-	-	
Y17741.1	-	-	-	-	-	-	
GQ184724.1	-	-	-	-	-	-	
Y09024.1	-	-	-	-	-	-	
AJ277277.1	-	-	-	-	-	-	
