Plasmids	locus_tag	protein_id	E-value_1	E-value_2
CP001166.1	BCH308197_A0203	ACI30382.1	3.1e-19	5.8e-19
CP009969.1	BF28_6022	AJI31699.1	2.1e-09	2.6e-09
CP009639.1	AK40_5691	AJI08907.1	1.3e-26	1.6e-21
CP009639.1	AK40_5668	AJI08934.1	2.9e-26	9.5e-25
CP009639.1	AK40_5744	AJI08773.1	1.9e-25	2.7e-25
CP009639.1	AK40_5713	AJI08726.1	1.8e-23	2.3e-17
CP009639.1	AK40_5690	AJI08962.1	2.1e-16	3.5e-16
CP009639.1	AK40_5667	AJI08834.1	3.8e-16	8.7e-16
CP009639.1	AK40_5501	AJI08699.1	6.7e-10	7.4e-07
CP009639.1	AK40_5527	AJI08917.1	2e-05	5.5e-05
CP009639.1	AK40_5500	AJI08861.1	0.00026	0.00068
CP009317.1	AS54_5637	AJG51256.1	7.1e-40	4.6e-38
CP009317.1	AS54_5655	AJG51179.1	6e-33	7.8e-33
CP009317.1	AS54_5594	AJG51281.1	4.1e-18	7.9e-18
CP001406.1	BCA_A0187	ACO25774.1	7.1e-40	4.6e-38
CP001406.1	BCA_A0164	ACO25786.1	6e-33	7.8e-33
CP001406.1	BCA_A0024	ACO25817.1	4.1e-18	7.9e-18
CP000228.1	BCQ_PI174	ACM15908.1	5.1e-42	6.5e-42
CP000228.1	BCQ_PI086	ACM15820.1	7.1e-37	2.3e-35
CP000228.1	BCQ_PI059	ACM15793.1	3.6e-34	4.5e-34
CP000228.1	BCQ_PI019	ACM15753.1	5.5e-17	2.8e-16
ABDM02000062.1	BC03BB108_B0310	EDX60072.1	2.9e-26	9.5e-25
ABDM02000062.1	BC03BB108_B0001	EDX59899.1	1.1e-25	2.3e-23
ABDM02000062.1	BC03BB108_B0052	EDX59988.1	1.9e-25	2.7e-25
ABDM02000062.1	BC03BB108_B0020	EDX59862.1	2.3e-23	2.9e-17
ABDM02000062.1	BC03BB108_B0019	EDX59790.1	4e-18	3.1e-16
ABDM02000062.1	BC03BB108_B0333	EDX59946.1	2.1e-16	3.5e-16
ABDM02000062.1	BC03BB108_B0309	EDX59829.1	3.8e-16	8.7e-16
ABDM02000062.1	BC03BB108_B0147	EDX59983.1	6.7e-10	7.4e-07
ABDM02000062.1	BC03BB108_B0173	EDX59979.1	2e-05	5.5e-05
ABDM02000062.1	BC03BB108_B0146	EDX59865.1	0.00026	0.00068
ABDM02000063.1	BC03BB108_C0162	EDX59615.1	3e-36	6.6e-35
ABDM02000063.1	BC03BB108_C0131	EDX59613.1	1.1e-31	1.3e-31
ABDM02000063.1	BC03BB108_C0020	EDX59658.1	1.8e-18	3.3e-18
CP027921.1	C1N82_32415	QHV07914.1	3.9e-39	5.9e-38
CP027921.1	C1N82_33305	QHV08059.1	3.9e-39	5.9e-38
CP027921.1	C1N82_33245	QHV08047.1	4e-31	5.2e-31
CP027921.1	C1N82_32355	QHV07902.1	5.2e-31	6.8e-31
CP027921.1	C1N82_32450	QHV07921.1	2.2e-26	7.3e-25
CP027921.1	C1N82_32315	QHV07894.1	2.8e-26	6.3e-25
CP027921.1	C1N82_32885	QHV07991.1	6.6e-18	1.3e-17
CP027921.1	C1N82_31755	QHV07793.1	1.4e-16	5.1e-16
CP027921.1	C1N82_32320	QHV07895.1	1.7e-16	4.5e-16
CP027921.1	C1N82_32445	QHV07920.1	8e-16	1.8e-15
CP027921.1	C1N82_33165	QHV08035.1	1.1e-09	1.3e-09
CP046513.1	GNE09_29475	QGV10663.1	3.7e-40	8.8e-40
CP046513.1	GNE09_29145	QGV10617.1	1.2e-33	1.5e-33
CP046513.1	GNE09_29930	QGV10724.1	7e-18	1.6e-17
CP029456.1	FORC087_560	QDD87344.1	6.3e-12	8.7e-12
CP029456.1	FORC087_526	QDD87310.1	2.2e-08	2.6e-08
CP018742.1	FORC47_p453	ASL62805.1	9e-24	1.4e-23
CP016361.1	BA201_27715	ASK17705.1	4.4e-20	5.4e-20
CP016361.1	BA201_28015	ASK17759.1	1e-10	1.6e-10
CP016317.1	BA202_27645	ASI81029.1	5.1e-42	6.5e-42
CP016317.1	BA202_27205	ASI80948.1	1.5e-39	1.1e-37
CP016317.1	BA202_27020	ASI80914.1	6.6e-32	8.4e-32
CP016317.1	BA202_27815	ASI81058.1	5.9e-27	1.7e-25
CP016317.1	BA202_27385	ASI80980.1	6.9e-19	1.3e-18
CP016317.1	BA202_27820	ASI81059.1	1.1e-15	3e-15
CP016317.1	BA202_27925	ASI81079.1	0.00018	0.22
CP016317.1	BA202_27920	ASI81078.1	0.0032	0.18
CP001180.1	BCAH187_E0027	ACJ82924.1	1e-13	1.3e-13
CP001180.1	BCAH187_E0001	ACJ82923.1	1e-07	1.2e-07
CP003748.1	BCK_27273	AFQ13264.1	1.5e-39	1e-37
CP003748.1	BCK_26423	AFQ13094.1	3.9e-34	4.9e-34
CP003748.1	BCK_26518	AFQ13113.1	5.9e-27	1.7e-25
CP003748.1	BCK_27088	AFQ13227.1	2e-17	4.4e-17
CP003748.1	BCK_26513	AFQ13112.1	1.1e-15	3e-15
CP000044.1	pE33L9_0009	AAY60676.1	2.1e-09	2.6e-09
CP001748.1	BACI_pCIXO200990	ADK08342.1	2e-08	2e-07
CP011154.1	WR51_28450	ANC16878.1	1.1e-39	7.6e-38
CP011154.1	WR51_30620	ANC17257.1	1.3e-39	3.2e-39
CP011154.1	WR51_30410	ANC17220.1	2.7e-25	2.7e-25
CP011154.1	WR51_29530	ANC17068.1	0.017	0.019
CP011152.1	WR47_30215	ANC11357.1	1.1e-39	7.6e-38
CP011152.1	WR47_30440	ANC11398.1	1.3e-39	3.2e-39
CP011152.1	WR47_28260	ANC11017.1	2.7e-25	2.7e-25
CP011152.1	WR47_29140	ANC11168.1	0.017	0.019
ABDM02000064.1	BC03BB108_D0082	EDX59498.1	1.7e-12	2.4e-12
NC_005707.1	BCE_RS27660	WP_000066152.1	6.3e-37	3.4e-35
NC_005707.1	BCE_RS28000	WP_001021543.1	1.1e-34	1.5e-34
NC_005707.1	BCE_RS29495	-	1.1e-22	1.6e-22
NC_005707.1	BCE_RS27485	WP_002029030.1	3.2e-19	6e-19
NC_005707.1	BCE_RS27025	WP_000824133.1	3.8e-16	8.7e-16
NC_005707.1	BCE_RS29505	-	7.6e-11	2.8e-09
NZ_CP027923.1	C1N82_RS32220	WP_012552771.1	6.3e-39	7.7e-39
NZ_CP027922.1	C1N82_RS32095	WP_162281218.1	7.7e-12	1.1e-11
NZ_CP027922.1	C1N82_RS31960	WP_001051787.1	4.4e-09	5.3e-09
NZ_CP028014.1	C1N66_RS31505	WP_043897552.1	4.4e-39	5.8e-39
NZ_CP028013.1	C1N66_RS31430	WP_162281218.1	7.7e-12	1.1e-11
NZ_CP028013.1	C1N66_RS31295	WP_001051787.1	4.4e-09	5.3e-09
CP028014.1	C1N66_32275	QHV47671.1	4.4e-39	5.8e-39
CP028013.1	C1N66_32200	QHV47654.1	7.7e-12	1.1e-11
CP028013.1	C1N66_32065	QHV47631.1	4.4e-09	5.3e-09
CP027923.1	C1N82_33860	QHV08179.1	4.4e-39	5.8e-39
CP027922.1	C1N82_33735	QHV08150.1	7.7e-12	1.1e-11
CP027922.1	C1N82_33600	QHV08127.1	4.4e-09	5.3e-09
NZ_CP029456.1	FORC087_RS30010	WP_139894975.1	6.3e-12	8.7e-12
NZ_CP029456.1	FORC087_RS29835	WP_139894958.1	2.2e-08	2.6e-08
NZ_CP029455.1	FORC087_RS29155	WP_061401921.1	4.2e-40	1e-39
NZ_CP029455.1	FORC087_RS29460	WP_087965496.1	2.2e-24	3.2e-24
CP029455.1	FORC087_381	QDD87166.1	4.2e-40	1e-39
CP029455.1	FORC087_448	QDD87233.1	1.6e-24	2.2e-24
PHQW02000015.1	CR195_028055	PYD94874.1	3.9e-41	5.1e-41
PHQW02000015.1	CR195_027915	PYD94856.1	3.6e-40	8.2e-40
PHQW02000015.1	CR195_028175	PYD94892.1	8.2e-23	1.2e-22
CP023246.1	CJ306_30215	ASZ69511.1	4e-40	9.2e-40
CP023246.1	CJ306_30000	ASZ69471.1	1.1e-24	1.6e-24
CP018741.1	FORC47_p235	ASL62587.1	3.6e-40	8.8e-40
CP018741.1	FORC47_p022	ASL62374.1	4.1e-19	6.4e-19
CP016596.1	BA204_26880	ASJ51683.1	1.4e-39	3.6e-39
CP016596.1	BA204_26785	ASJ51665.1	1.6e-18	2.3e-18
CP016596.1	BA204_27360	-	6.2e-05	7.6e-05
NC_007107.1	BCE33L_RS30160	WP_000358746.1	2.1e-09	2.6e-09
NC_007105.1	BCE33L_RS29885	WP_000358766.1	1.2e-09	1.4e-09
NC_007105.1	BCE33L_RS32225	-	0.041	0.043
NC_007103.1	BCE33L_RS27670	WP_000386169.1	9.7e-40	2.2e-39
NC_007103.1	BCE33L_RS27755	WP_000747906.1	1.3e-37	1.7e-37
NC_007103.1	BCE33L_RS27830	WP_000369814.1	3.3e-24	4.7e-24
NC_007103.1	BCE33L_RS28360	WP_001035967.1	1.8e-09	2.2e-09
NC_007103.1	BCE33L_RS29535	WP_001035968.1	2.5e-09	2.9e-09
AP007210.1	BCN_P248	BAL21456.1	8.9e-40	6.5e-38
AP007210.1	BCN_P168	BAL21376.1	1.1e-34	1.5e-34
AP007210.1	BCN_P044	BAL21252.1	3.1e-19	5.8e-19
CP001169.1	BCH308197_C0037	ACI30531.1	6.3e-39	7.7e-39
CP001168.1	BCH308197_D0010	ACI30497.1	7.9e-09	9.6e-09
CP009636.1	AK40_6041	AJI08381.1	3e-36	6.6e-35
CP009636.1	AK40_6011	AJI08509.1	1.1e-31	1.3e-31
CP009636.1	AK40_5903	AJI08448.1	1.8e-18	3.3e-18
CP003749.1	BCK_27448	AFQ13298.1	1.5e-14	3.2e-13
CP000042.1	pE33L54_0017	AAY60623.1	1.2e-09	1.4e-09
CP000040.1	pE33L466_0018	AAY60189.1	9.7e-40	2.2e-39
CP000040.1	pE33L466_0037	AAY60206.1	1.4e-37	1.8e-37
CP000040.1	pE33L466_0056	AAY60221.1	3.3e-24	4.7e-24
CP000040.1	pE33L466_0164	AAY60324.1	1.8e-09	2.2e-09
CP000040.1	pE33L466_0412	AAY60552.1	2.5e-09	2.9e-09
CP001187.1	BCG9842_0136	ACK98582.1	3.1e-39	4.7e-38
CP001187.1	BCG9842_0057	ACK98594.1	1.4e-26	2.4e-26
CP001187.1	BCG9842_0162	ACK98649.1	3.6e-05	8.3e-05
CP015730.1	DA68_26710	ANE89275.1	2.7e-40	6.3e-40
CP015730.1	DA68_26765	ANE89286.1	2e-24	2.2e-24
CP015730.1	DA68_26915	ANE89315.1	1.1e-17	1.5e-17
NC_025012.1	ST1396_p1	YP_009062845.1	7.9e-10	9.1e-10
FR675941.1	pLVP1401_64	CBW44215.1	2.9e-13	4.1e-13
ABDA02000035.1	BCAH1134_C0384	EDZ48965.1	1e-39	2.8e-39
ABDA02000035.1	BCAH1134_C0394	EDZ49278.1	7.7e-37	4.9e-35
ABDA02000035.1	BCAH1134_C0458	EDZ49031.1	7.2e-25	1.1e-24
AB083655.3	-	BAC57065.1	7.9e-10	9.1e-10
NZ_CP042875.1	FRY47_RS00075	WP_000386620.1	4e-40	9.2e-40
NZ_CP042875.1	FRY47_RS00775	WP_098535306.1	2.4e-27	4e-25
NZ_CP042875.1	FRY47_RS00350	WP_001035905.1	1.1e-24	1.6e-24
NZ_CP042875.1	FRY47_RS00780	WP_168455249.1	5.5e-14	2.1e-13
NZ_CP042875.1	FRY47_RS01635	-	6.3e-05	6.9e-05
NZ_CP015592.1	A7A70_RS29055	WP_071680189.1	2.2e-32	2.9e-32
NZ_CP015592.1	A7A70_RS28085	-	8.9e-29	2.2e-28
NZ_CP015592.1	A7A70_RS28440	WP_071680111.1	2.4e-24	2.4e-24
NZ_CP015592.1	A7A70_RS29120	WP_071680197.1	8.1e-22	1.6e-21
NZ_CP015591.1	A7A70_RS27665	WP_071680025.1	5.8e-10	7.2e-10
NZ_CP015591.1	A7A70_RS27620	WP_061402413.1	2.2e-06	5.5e-06
NZ_CP023246.1	CJ306_RS29435	WP_000386620.1	4e-40	9.2e-40
NZ_CP023246.1	CJ306_RS29210	WP_001035905.1	1.1e-24	1.6e-24
NC_016792.1	BCN_RS28375	WP_000066149.1	8.9e-40	6.5e-38
NC_016792.1	BCN_RS28030	WP_001021543.1	1.1e-34	1.5e-34
NC_016792.1	BCN_RS27480	WP_002029030.1	3.2e-19	6e-19
NZ_CP009595.1	BG11_RS01235	WP_000527887.1	8.8e-26	1.5e-25
NZ_CP009595.1	BG11_RS01100	WP_000045537.1	4.4e-20	5.4e-20
NZ_CP009595.1	BG11_RS01570	WP_002037656.1	4.9e-19	9.4e-19
NZ_CP009606.1	BF33_RS28245	WP_000527887.1	8.8e-26	1.5e-25
NZ_CP009606.1	BF33_RS28110	WP_000045537.1	4.4e-20	5.4e-20
NZ_CP009606.1	BF33_RS28580	WP_002037656.1	4.9e-19	9.4e-19
NZ_CP009640.1	AK40_RS03280	WP_001996290.1	1.7e-12	2.4e-12
NZ_CP009639.1	AK40_RS02625	WP_001994656.1	1.3e-26	1.6e-21
NZ_CP009639.1	AK40_RS02525	WP_001265872.1	2.9e-26	9.5e-25
NZ_CP009639.1	AK40_RS02860	WP_001995950.1	1.9e-25	2.7e-25
NZ_CP009639.1	AK40_RS02705	WP_001265869.1	1.8e-23	2.3e-17
NZ_CP009639.1	AK40_RS02620	WP_001994650.1	2.1e-16	3.5e-16
NZ_CP009639.1	AK40_RS02520	WP_000824133.1	3.8e-16	8.7e-16
NZ_CP009639.1	AK40_RS01750	WP_001995944.1	6.7e-10	7.4e-07
NZ_CP009639.1	AK40_RS01880	WP_001995939.1	2e-05	5.5e-05
NZ_CP009639.1	AK40_RS01745	WP_001995810.1	0.00026	0.00068
NZ_CP009638.1	AK40_RS01640	WP_001265872.1	2.9e-26	9.5e-25
NZ_CP009638.1	AK40_RS01635	WP_000824133.1	3.8e-16	8.7e-16
NZ_CP009636.1	AK40_RS01045	WP_001996099.1	3e-36	6.6e-35
NZ_CP009636.1	AK40_RS00905	WP_001996097.1	1.1e-31	1.3e-31
NZ_CP009636.1	AK40_RS00425	WP_042516174.1	1.8e-18	3.4e-18
NZ_CP009592.1	AQ16_RS28985	WP_033692002.1	2.4e-39	2e-37
NZ_CP009592.1	AQ16_RS28915	WP_001021546.1	6e-33	7.8e-33
NZ_CP009592.1	AQ16_RS29145	WP_001006036.1	5.1e-18	8.8e-18
NZ_CP009591.1	AQ16_RS28145	WP_001971857.1	5.1e-25	7.9e-25
NZ_CP009368.1	BG03_RS00780	WP_042514356.1	4.3e-40	1e-39
NZ_CP009368.1	BG03_RS00405	WP_042514305.1	1.5e-24	1.5e-24
NZ_CP009589.1	AQ16_RS00350	WP_001981282.1	9.3e-09	1.1e-08
NZ_CP009969.1	BF28_RS30170	WP_000358746.1	2.1e-09	2.6e-09
NZ_CP009299.1	AW22_RS00420	WP_042512099.1	5.9e-36	1.1e-34
NZ_CP009299.1	AW22_RS00355	WP_042512098.1	7.4e-33	9.3e-33
NZ_CP009299.1	AW22_RS00620	WP_042512125.1	4e-19	8e-19
NZ_CP009967.1	BF28_RS01750	WP_000386169.1	9.7e-40	2.2e-39
NZ_CP009967.1	BF28_RS01665	WP_000747906.1	1.3e-37	1.7e-37
NZ_CP009967.1	BF28_RS01590	WP_000369814.1	3.3e-24	4.7e-24
NZ_CP009967.1	BF28_RS01050	WP_001035967.1	1.8e-09	2.2e-09
NZ_CP009967.1	BF28_RS02100	WP_001035968.1	2.5e-09	2.9e-09
NZ_CP009966.1	BF28_RS00105	WP_000358766.1	1.2e-09	1.4e-09
NZ_CP009627.1	BF35_RS00065	WP_000594390.1	1.1e-09	1.4e-09
NZ_CP009627.1	BF35_RS00045	WP_000533592.1	8.5e-07	2.2e-06
NZ_CP009317.1	AS54_RS00695	WP_000070480.1	7.1e-40	4.6e-38
NZ_CP009317.1	AS54_RS00770	WP_001021546.1	6e-33	7.8e-33
NZ_CP009317.1	AS54_RS00510	WP_001006037.1	4.1e-18	7.9e-18
NZ_CP009940.1	NT98_RS01145	WP_001971857.1	5.1e-25	7.9e-25
NZ_CP009939.1	NT98_RS00005	WP_001981282.1	9.3e-09	1.1e-08
NZ_CP027924.1	C1N82_RS32405	WP_012552771.1	6.3e-39	7.7e-39
NZ_CP027921.1	C1N82_RS30865	WP_162281135.1	3.9e-39	5.9e-38
NZ_CP027921.1	C1N82_RS31685	WP_162281135.1	3.9e-39	5.9e-38
NZ_CP027921.1	C1N82_RS31635	WP_162281128.1	4e-31	5.2e-31
NZ_CP027921.1	C1N82_RS30815	WP_162283592.1	5.2e-31	6.8e-31
NZ_CP027921.1	C1N82_RS30900	WP_162281150.1	2.2e-26	7.3e-25
NZ_CP027921.1	C1N82_RS30775	WP_162279834.1	2.8e-26	6.3e-25
NZ_CP027921.1	C1N82_RS31295	WP_162281072.1	6.6e-18	1.3e-17
NZ_CP027921.1	C1N82_RS30215	WP_162283521.1	1.4e-16	5.1e-16
NZ_CP027921.1	C1N82_RS30780	WP_162279835.1	1.7e-16	4.5e-16
NZ_CP027921.1	C1N82_RS30895	WP_162281147.1	8e-16	1.8e-15
NZ_CP027921.1	C1N82_RS31560	WP_162281108.1	1.1e-09	1.3e-09
NZ_CP028010.1	C1N66_RS30720	WP_162281135.1	3.9e-39	5.9e-38
NZ_CP028010.1	C1N66_RS30670	WP_162281128.1	4e-31	5.2e-31
NZ_CP028010.1	C1N66_RS30755	WP_162281150.1	2.2e-26	7.3e-25
NZ_CP028010.1	C1N66_RS30330	WP_162281072.1	6.6e-18	1.3e-17
NZ_CP028010.1	C1N66_RS30750	WP_162281147.1	8e-16	1.8e-15
NZ_CP028010.1	C1N66_RS30595	WP_162281108.1	1.1e-09	1.3e-09
CP028010.1	C1N66_31450	QHV47520.1	3.9e-39	5.9e-38
CP028010.1	C1N66_31390	QHV47510.1	4e-31	5.2e-31
CP028010.1	C1N66_31485	QHV47527.1	2.2e-26	7.3e-25
CP028010.1	C1N66_31025	QHV47452.1	6.6e-18	1.3e-17
CP028010.1	C1N66_31480	QHV47526.1	8e-16	1.8e-15
CP028010.1	C1N66_31305	QHV47496.1	1.1e-09	1.3e-09
CP027924.1	C1N82_34045	QHV08216.1	4.4e-39	5.8e-39
NZ_PHQW02000016.1	CR195_RS27810	-	1e-06	1.2e-06
NZ_PHQW02000015.1	CR195_RS27095	WP_158318244.1	3.9e-41	5.1e-41
NZ_PHQW02000015.1	CR195_RS26960	WP_047956806.1	3.6e-40	8.2e-40
NZ_PHQW02000015.1	CR195_RS27215	WP_158318259.1	8.2e-23	1.2e-22
NZ_CP024657.1	CSW12_RS30335	-	4.7e-08	6.3e-08
NZ_CP024656.1	CSW12_RS29305	WP_100910615.1	7e-15	1.1e-14
NZ_CP024656.1	CSW12_RS29635	-	2.6e-14	3.7e-14
NZ_CP024656.1	CSW12_RS29105	-	2.6e-14	3.7e-14
NZ_CP024656.1	CSW12_RS29405	WP_100910629.1	1.8e-09	2.1e-09
NZ_CP022448.1	CGZ63_RS31690	WP_089608151.1	2.9e-10	3.2e-10
NZ_CP022447.1	CGZ63_RS31630	-	4.4e-06	5.1e-06
NZ_CP022446.1	CGZ63_RS28545	WP_089607839.1	4.2e-40	9.7e-40
NZ_CP022446.1	CGZ63_RS28345	WP_001035905.1	1.1e-24	1.6e-24
NZ_CP022446.1	CGZ63_RS30195	WP_089607991.1	5e-08	7.7e-08
NZ_CP022446.1	CGZ63_RS31355	-	1.3e-05	1.6e-05
NZ_CP018742.1	FORC47_RS30330	WP_089172408.1	9e-24	1.4e-23
NZ_CP018741.1	FORC47_RS29405	WP_043937389.1	3.6e-40	8.8e-40
NZ_CP018741.1	FORC47_RS28460	WP_089172181.1	4.1e-19	6.4e-19
NZ_CP016362.1	BA201_RS29635	WP_088294542.1	3.4e-11	5.2e-11
NZ_CP016361.1	BA201_RS29185	WP_000045537.1	4.4e-20	5.4e-20
NZ_CP016361.1	BA201_RS29485	WP_061685296.1	1e-10	1.6e-10
NZ_CP016596.1	BA204_RS28500	WP_088911247.1	1.4e-39	3.6e-39
NZ_CP016596.1	BA204_RS28405	WP_087965074.1	1.6e-18	2.3e-18
NZ_CP016596.1	BA204_RS29020	-	6.2e-05	7.6e-05
NZ_CP016317.1	BA202_RS28650	WP_000045534.1	5.1e-42	6.5e-42
NZ_CP016317.1	BA202_RS28170	WP_000066150.1	1.5e-39	1.1e-37
NZ_CP016317.1	BA202_RS27975	WP_001021542.1	6.6e-32	8.4e-32
NZ_CP016317.1	BA202_RS28830	WP_001265876.1	5.9e-27	1.7e-25
NZ_CP016317.1	BA202_RS28375	WP_088883365.1	6.9e-19	1.3e-18
NZ_CP016317.1	BA202_RS28835	WP_000823956.1	1.1e-15	3e-15
NZ_CP016317.1	BA202_RS28945	WP_000936733.1	0.00018	0.22
NZ_CP016317.1	BA202_RS28940	WP_001043707.1	0.0032	0.18
NZ_CP040343.1	EQK03_RS28270	WP_046646355.1	1.6e-39	9.9e-38
NZ_CP040343.1	EQK03_RS27110	WP_157418894.1	3.3e-34	4.1e-34
NZ_CP040343.1	EQK03_RS27935	WP_046647647.1	1.1e-17	2.1e-17
NZ_CP040343.1	EQK03_RS27520	WP_061680256.1	9.8e-12	3.6e-10
NZ_CP040343.1	EQK03_RS27515	WP_078384248.1	0.00094	0.0029
NZ_CP040335.1	EUC39_RS27070	WP_157418291.1	2.1e-19	4.9e-19
NZ_CP040335.1	EUC39_RS26970	WP_053564381.1	2.3e-10	2.8e-10
NZ_CP045610.2	GE376_RS31265	WP_153218730.1	6.9e-10	8.3e-10
NZ_CP045609.2	GE376_RS31240	WP_153218722.1	1.5e-09	1.7e-09
NZ_CP045608.2	GE376_RS30200	WP_153218642.1	4.3e-19	6.8e-19
NZ_CP045607.2	GE376_RS28765	WP_000386594.1	4.9e-40	1.1e-39
NZ_CP045607.2	GE376_RS27955	-	4.1e-26	6.7e-26
NZ_CP045607.2	GE376_RS28995	WP_153218402.1	1.9e-24	2.9e-24
NZ_CP045607.2	GE376_RS29780	WP_088021008.1	8e-17	2.2e-16
NZ_CP045607.2	GE376_RS28035	-	0.00065	0.00065
NZ_CP045607.2	GE376_RS28020	WP_153218570.1	0.0022	0.0043
NZ_CP045607.2	GE376_RS29675	WP_097920753.1	0.0094	0.01
NZ_CP045607.2	GE376_RS28545	-	0.053	0.053
NZ_CP040341.1	EUC38_RS28190	WP_000066151.1	1.3e-36	6.9e-35
NZ_CP040341.1	EUC38_RS28585	WP_001021532.1	1.1e-31	1.4e-31
NZ_CP040341.1	EUC38_RS28645	WP_001265871.1	2.6e-26	8.9e-25
NZ_CP040341.1	EUC38_RS29465	WP_002042157.1	4e-18	2.2e-17
NZ_CP040341.1	EUC38_RS28655	WP_000156041.1	2.2e-16	3.4e-15
NZ_CP040341.1	EUC38_RS28640	WP_000824132.1	1.5e-15	3.5e-15
NZ_CP040341.1	EUC38_RS28900	WP_061680256.1	9.8e-12	3.6e-10
NZ_CP040341.1	EUC38_RS28660	WP_001096999.1	8.9e-11	4.2e-10
NZ_CP040341.1	EUC38_RS28115	WP_063220203.1	7.8e-05	0.035
NZ_CP040341.1	EUC38_RS28895	WP_061680271.1	0.0011	0.0042
NZ_CP020941.1	B2J90_RS30915	WP_085782979.1	1.6e-13	2.6e-13
NZ_CP020940.1	B2J90_RS30260	WP_000070475.1	2e-39	1.8e-37
NZ_CP020940.1	B2J90_RS30445	WP_001006036.1	5.1e-18	8.8e-18
NZ_CP020938.1	B2J90_RS28355	WP_085782665.1	1.2e-41	5.4e-34
NC_012473.1	BCA_RS00725	WP_000070480.1	7.1e-40	4.6e-38
NC_012473.1	BCA_RS00650	WP_001021546.1	6e-33	7.8e-33
NC_012473.1	BCA_RS00085	WP_001006037.1	4.1e-18	7.9e-18
NC_011777.1	BCAH820_RS29155	WP_000066150.1	1.5e-39	1.1e-37
NC_011777.1	BCAH820_RS28815	WP_001021531.1	1.9e-31	2.5e-31
NC_011777.1	BCAH820_RS28720	WP_000045537.1	4.4e-20	5.4e-20
NC_011777.1	BCAH820_RS27965	WP_012477828.1	1.6e-16	8.8e-16
NC_011775.1	BCG9842_RS28050	WP_000071016.1	3.1e-39	4.7e-38
NC_011775.1	BCG9842_RS27690	WP_000065265.1	1.4e-26	2.4e-26
NC_011775.1	BCG9842_RS28160	WP_001109088.1	3.6e-05	8.3e-05
NC_011655.1	BCAH187_RS28670	WP_000066149.1	8.9e-40	6.5e-38
