Plasmids	locus_tag(Term)	protein_id(Term)	E-value_1(Term)	E-value_2(Term)	locus_tag(TMP)	protein_id(TMP)	E-value_1(TMP)	E-value_2(TMP)	locus_tag(MCP)	protein_id(MCP)	E-value_1(MCP)	E-value_2(MCP)	locus_tag(ParA)	protein_id(ParA)	E-value_1(ParA)	E-value_2(ParA)	locus_tag(ParM)	protein_id(ParM)	E-value_1(ParM)	E-value_2(ParM)	locus_tag(XerC)	protein_id(XerC)	E-value_1(XerC)	E-value_2(XerC)
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0255	ABK01056.1	5.2e-08	0.0023	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0255	ABK01056.1	4.2e-26	2.1e-12	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0072	ABK01050.1	1.2e-06	5.3e-06	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0255	ABK01056.1	5.4e-06	0.13	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0255	ABK01056.1	5.4e-16	5.1e-07	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0072	ABK01050.1	0.00084	0.0064	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0072	ABK01050.1	1.3e-07	2.6e-07	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0255	ABK01056.1	7.4e-06	0.0032	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0183	ABK01252.1	1.6e-12	3.1e-07	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0177	ABK01230.1	2.8e-12	9.9e-11	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0163	ABK01085.1	5.8e-09	2.2e-07	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0092	ABK01258.1	2.8e-06	0.044	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0134	ABK01113.1	3.3e-05	0.00025	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0119	ABK01184.1	5.9e-05	0.0062	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0255	ABK00790.1	2.2e-12	7.7e-05	-	-	-	-	pPER272_AH820_0259	ABK00969.1	1.5e-39	1.1e-37
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0072	ABK00784.1	0.0002	0.013	-	-	-	-	pPER272_AH820_0193	ABK00974.1	1.9e-31	2.5e-31
DQ889677.1	-	-	-	-	pPER272_AH820_0218	ABK00835.1	1.4e-20	1.4e-20	-	-	-	-	pPER272_AH820_0255	ABK00790.1	1.8e-23	6e-13	-	-	-	-	pPER272_AH820_0172	ABK00852.1	4.4e-20	5.4e-20
DQ889677.1	-	-	-	-	pPER272_AH820_0106	ABK00954.1	1.7e-07	1.7e-07	-	-	-	-	pPER272_AH820_0072	ABK00784.1	2.7e-07	5.5e-07	-	-	-	-	pPER272_AH820_0025	ABK00760.1	1.6e-16	8.8e-16
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0249	ABK00983.1	7.1e-05	0.0043	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0255	ABK00790.1	4.7e-18	4e-07	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0072	ABK00784.1	0.0007	0.0039	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0177	ABK00966.1	4.4e-21	6.6e-20	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0183	ABK00988.1	5.9e-21	1.3e-19	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0163	ABK00820.1	1.1e-15	5e-14	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0092	ABK00994.1	8.9e-15	3.6e-08	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0134	ABK00848.1	1.4e-14	2e-14	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0180	ABK00815.1	6.7e-12	2.9e-11	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0119	ABK00919.1	2.1e-11	5.7e-10	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0255	ABK00790.1	5.2e-08	0.0023	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0255	ABK00790.1	4.2e-26	2.1e-12	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0072	ABK00784.1	1.2e-06	5.3e-06	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0255	ABK00790.1	5.4e-06	0.13	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0255	ABK00790.1	5.4e-16	5.1e-07	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0072	ABK00784.1	0.00084	0.0064	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0072	ABK00784.1	1.3e-07	2.6e-07	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0255	ABK00790.1	7.4e-06	0.0032	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0183	ABK00988.1	1.6e-12	3.1e-07	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0177	ABK00966.1	2.8e-12	9.9e-11	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0163	ABK00820.1	5.8e-09	2.2e-07	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0092	ABK00994.1	2.8e-06	0.044	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0134	ABK00848.1	3.3e-05	0.00025	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_AH820_0119	ABK00919.1	5.9e-05	0.0062	-	-	-	-	-	-	-	-
DQ889677.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
U32369.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
U32369.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
U32369.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
U32369.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NC_001705.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NC_001705.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
X51366.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0102	ABK00526.1	0.00021	0.013	-	-	-	-	BcAH187_pCER270_0235	ABK00636.1	8.9e-40	6.5e-38
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0102	ABK00526.1	2.7e-07	5.3e-07	-	-	-	-	BcAH187_pCER270_0169	ABK00729.1	8.7e-35	1.1e-34
DQ889676.1	-	-	-	-	BcAH187_pCER270_0041	ABK00619.1	1.3e-12	1.6e-12	-	-	-	-	BcAH187_pCER270_0102	ABK00526.1	0.00065	0.0031	-	-	-	-	BcAH187_pCER270_0051	ABK00556.1	3.1e-19	5.8e-19
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	BcAH187_pCER270_0041	ABK00619.1	2e-13	2e-13	-	-	-	-	BcAH187_pCER270_0182	ABK00580.1	2.6e-20	5.6e-19	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0184	ABK00641.1	7e-19	1.5e-17	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0210	ABK00593.1	1.1e-15	5e-14	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0133	ABK00650.1	1.5e-14	6.1e-08	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0194	ABK00623.1	4.9e-12	6.2e-12	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	BcAH187_pCER270_0151	ABK00629.1	1.7e-07	1.7e-07	-	-	-	-	BcAH187_pCER270_0102	ABK00526.1	6.9e-07	3e-06	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0102	ABK00526.1	0.00085	0.0064	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0102	ABK00526.1	1.4e-07	2.7e-07	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0182	ABK00580.1	1.6e-11	3.3e-06	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0184	ABK00641.1	2e-11	1.1e-09	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0210	ABK00593.1	5.8e-09	2.2e-07	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0133	ABK00650.1	5.4e-06	0.044	-	-	-	-	-	-	-	-
DQ889676.1	-	-	-	-	-	-	-	-	-	-	-	-	BcAH187_pCER270_0194	ABK00623.1	0.00089	0.0022	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30375	AUB67156.1	2.5e-19	8.6e-18	CSW12_29830	AUB67069.1	8e-09	2.5e-07	CSW12_30405	-	4.7e-08	6.3e-08
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30390	AUB67159.1	2.5e-18	5e-17	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30130	AUB67119.1	2.5e-14	2.8e-13	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	CSW12_30525	AUB67190.1	5.3e-13	5.3e-13	-	-	-	-	CSW12_30235	AUB67135.1	5.1e-13	7.6e-13	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30320	-	1.4e-10	1.6e-09	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30145	-	2.8e-06	4e-06	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30040	AUB67104.1	0.001	0.0016	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30390	AUB67159.1	1.5e-10	1.8e-08	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30375	AUB67156.1	1.5e-09	1.1e-07	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30235	AUB67135.1	4.7e-05	0.00013	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30130	AUB67119.1	0.0001	0.0057	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP024657.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009965.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	AQ16_5641	AJI08158.1	0.00011	0.0033	-	-	-	-	AQ16_5734	AJI08230.1	2.4e-39	2e-37
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	AQ16_5641	AJI08158.1	1.3e-09	2.7e-09	-	-	-	-	AQ16_5716	AJI08297.1	6e-33	7.8e-33
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	AQ16_5641	AJI08158.1	1.3e-05	0.0026	-	-	-	-	AQ16_5771	AJI08255.1	5.1e-18	8.8e-18
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	AQ16_5700	AJI08288.1	4.7e-15	1.7e-07	-	-	-	-	-	-	-	-
CP009592.1	-	-	-	-	AQ16_5674	AJI08119.1	0.00043	0.00057	-	-	-	-	AQ16_5641	AJI08158.1	3.2e-07	1.9e-06	-	-	-	-	-	-	-	-
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	AQ16_5641	AJI08158.1	0.001	0.0046	-	-	-	-	-	-	-	-
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	AQ16_5641	AJI08158.1	2.2e-07	7.6e-07	-	-	-	-	-	-	-	-
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	AQ16_5700	AJI08288.1	5e-08	0.004	-	-	-	-	-	-	-	-
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009592.1	-	-	-	-	AQ16_5663	AJI08291.1	9e-07	9e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009592.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ360825.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0156	AAS45006.1	2.2e-12	7.7e-05	-	-	-	-	BCE_A0151	AAS45001.1	6.3e-37	3.4e-35
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0232	AAS45080.1	1.1e-34	1.5e-34
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0156	AAS45006.1	1.8e-23	6e-13	-	-	-	-	BCE_A0242	AAS45091.1	5.1e-32	2e-21
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0053	AAS44903.1	6.7e-07	1.4e-06	-	-	-	-	BCE_A0108	AAS44958.1	3.2e-19	6e-19
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0164	AAS45014.1	7.1e-05	0.0043	-	-	-	-	BCE_A0001	AAS44851.1	3.6e-16	8.3e-16
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0156	AAS45006.1	4.7e-18	4e-07	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	BCE_A0203	AAS45052.1	1.4e-20	1.4e-20	-	-	-	-	BCE_A0053	AAS44903.1	0.00061	0.0039	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	BCE_A0023	AAS44873.1	1.5e-07	1.5e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0156	AAS45006.1	5.2e-08	0.0023	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0156	AAS45006.1	4.2e-26	2.1e-12	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0053	AAS44903.1	1.2e-06	5.2e-06	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0156	AAS45006.1	5.4e-06	0.13	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0156	AAS45006.1	5.4e-16	5.1e-07	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0053	AAS44903.1	2.6e-06	8.3e-06	-	-	-	-	-	-	-	-
AE017195.1	-	-	-	-	-	-	-	-	-	-	-	-	BCE_A0156	AAS45006.1	7.4e-06	0.0032	-	-	-	-	-	-	-	-
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	BACI_pCIXO100770	ADK08112.1	9.1e-05	0.0022	-	-	-	-	BACI_pCIXO101860	ADK08221.1	2e-39	1.8e-37
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	BACI_pCIXO100770	ADK08112.1	1.5e-09	3.2e-09	-	-	-	-	BACI_pCIXO101680	ADK08203.1	6e-33	7.8e-33
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	BACI_pCIXO100770	ADK08112.1	1.4e-05	0.0026	-	-	-	-	BACI_pCIXO100270	ADK08062.1	5.1e-18	8.8e-18
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	BACI_pCIXO101450	ADK08180.1	2.9e-15	2.6e-08	-	-	-	-	-	-	-	-
CP001747.1	-	-	-	-	BACI_pCIXO101090	ADK08144.1	0.00043	0.00057	-	-	-	-	BACI_pCIXO100770	ADK08112.1	2.5e-07	1.5e-06	-	-	-	-	-	-	-	-
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	BACI_pCIXO100770	ADK08112.1	0.001	0.0046	-	-	-	-	-	-	-	-
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	BACI_pCIXO100770	ADK08112.1	2.5e-07	7.3e-07	-	-	-	-	-	-	-	-
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	BACI_pCIXO101450	ADK08180.1	6.4e-08	0.00079	-	-	-	-	-	-	-	-
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001747.1	-	-	-	-	BACI_pCIXO100980	ADK08133.1	8.3e-07	8.3e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001747.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP024658.1	-	-	-	-	CSW12_31050	AUB67268.1	0.00015	0.00024	-	-	-	-	CSW12_31260	AUB67300.1	1.3e-14	1e-12	-	-	-	-	-	-	-	-
CP024658.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30645	AUB67197.1	4.5e-14	3.4e-12	-	-	-	-	-	-	-	-
CP024658.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30680	AUB67307.1	6.2e-13	8.9e-13	-	-	-	-	-	-	-	-
CP024658.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP024658.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_31260	AUB67300.1	7.7e-08	3.3e-06	-	-	-	-	-	-	-	-
CP024658.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30645	AUB67197.1	5.7e-05	0.00011	-	-	-	-	-	-	-	-
CP024658.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_30680	AUB67307.1	0.00028	0.00075	-	-	-	-	-	-	-	-
CP024656.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_29145	AUB66960.1	1.5e-19	5.8e-18	-	-	-	-	CSW12_29380	AUB66996.1	7e-15	1.1e-14
CP024656.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_29675	AUB67043.1	1.5e-19	5.8e-18	-	-	-	-	CSW12_29710	-	2.6e-14	3.7e-14
CP024656.1	-	-	-	-	CSW12_29255	AUB66975.1	2.2e-22	2.8e-22	-	-	-	-	CSW12_29620	AUB67034.1	7.5e-15	8.4e-14	-	-	-	-	CSW12_29180	-	2.6e-14	3.7e-14
CP024656.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_29145	AUB66960.1	1.8e-12	2.2e-10	-	-	-	-	CSW12_29480	AUB67015.1	1.8e-09	2.1e-09
CP024656.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_29675	AUB67043.1	1.8e-12	2.2e-10	-	-	-	-	-	-	-	-
CP024656.1	-	-	-	-	-	-	-	-	-	-	-	-	CSW12_29620	AUB67034.1	6.8e-05	0.0038	-	-	-	-	-	-	-	-
CP023180.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009299.1	-	-	-	-	-	-	-	-	-	-	-	-	AW22_5849	AJG56775.1	6.4e-12	0.00013	-	-	-	-	AW22_5713	AJG56853.1	5.9e-36	1.1e-34
CP009299.1	-	-	-	-	-	-	-	-	-	-	-	-	AW22_5810	AJG56706.1	1.7e-05	0.00096	-	-	-	-	AW22_5697	AJG56814.1	7.4e-33	9.3e-33
CP009299.1	-	-	-	-	-	-	-	-	-	-	-	-	AW22_5849	AJG56775.1	2.5e-23	2.8e-12	-	-	-	-	AW22_5759	AJG56690.1	4e-19	8e-19
CP009299.1	-	-	-	-	AW22_5638	AJG56799.1	3e-06	3e-06	-	-	-	-	AW22_5810	AJG56706.1	7.3e-09	1.5e-08	-	-	-	-	-	-	-	-
