Plasmids	locus_tag	protein_id	E-value_1	E-value_2
CP027921.1	C1N82_32440	QHV07919.1	2.4	2.6
CP027921.1	C1N82_33330	QHV08064.1	2.4	2.6
CP027921.1	C1N82_32440	QHV07919.1	0.2	0.22
CP027921.1	C1N82_33330	QHV08064.1	0.2	0.22
CP027921.1	C1N82_31695	QHV08066.1	0.094	0.13
CP027921.1	C1N82_32695	QHV08077.1	0.094	0.13
CP027921.1	C1N82_32105	QHV07855.1	2.8e-05	2.8e-05
CP027921.1	C1N82_31985	QHV07831.1	3.5	5.4
CP027921.1	C1N82_32440	QHV07919.1	1.1	1.2
CP027921.1	C1N82_33330	QHV08064.1	1.1	1.2
CP046513.1	GNE09_29460	QGV10660.1	0.61	0.66
CP046513.1	GNE09_29650	QGV10682.1	0.31	0.54
CP046513.1	GNE09_29650	QGV10682.1	0.51	0.38
CP046513.1	GNE09_30110	QGV10751.1	2.7	3.8
CP046513.1	GNE09_29020	-	8.7e-06	1.2e-05
CP046513.1	GNE09_29910	-	0.73	0.97
CP029456.1	FORC087_548	QDD87332.1	0.0087	0.0095
CP029456.1	FORC087_584	QDD87368.1	3.4	10
CP029456.1	FORC087_584	QDD87368.1	9.2e-23	1.2e-22
CP018742.1	FORC47_p389	ASL62741.1	0.035	0.04
CP018742.1	FORC47_p337	ASL62689.1	0.00055	0.00076
CP018742.1	FORC47_p485	ASL62837.1	0.0015	0.002
CP018742.1	FORC47_p402	ASL62754.1	0.0015	0.0015
CP018742.1	FORC47_p337	ASL62689.1	0.011	0.017
CP018742.1	FORC47_p485	ASL62837.1	0.089	0.15
CP018742.1	FORC47_p337	ASL62689.1	1.2e-14	1.6e-14
CP018742.1	FORC47_p485	ASL62837.1	3.5e-14	3.5e-14
CP018742.1	FORC47_p402	ASL62754.1	5.5e-10	6.4e-10
CP018742.1	FORC47_p485	ASL62837.1	2.1e-14	2.9e-14
CP018742.1	FORC47_p337	ASL62689.1	8.8e-14	1.3e-13
CP018742.1	FORC47_p402	ASL62754.1	1.2e-12	1.3e-12
CP018742.1	FORC47_p402	ASL62754.1	0.003	0.0037
CP018742.1	FORC47_p485	ASL62837.1	0.0072	0.0082
CP018742.1	FORC47_p337	ASL62689.1	0.23	0.17
CP018742.1	FORC47_p389	ASL62741.1	0.011	0.013
CP018742.1	FORC47_p368	ASL62720.1	2.5	2.9
CP016361.1	BA201_27830	ASK17727.1	0.25	0.26
CP016361.1	BA201_27975	ASK17751.1	0.017	0.017
CP016361.1	BA201_27845	ASK17730.1	9.3e-24	1.2e-23
CP016317.1	BA202_27045	ASI80919.1	0.13	0.22
CP016317.1	BA202_27915	ASI81077.1	1.2	1.2
CP016317.1	BA202_27915	ASI81077.1	0.1	0.14
CP016317.1	BA202_27915	ASI81077.1	0.023	0.027
CP016317.1	BA202_27825	ASI81060.1	1.5	1.7
CP001180.1	BCAH187_E0048	ACJ82897.1	2.9	9.2
CP001180.1	BCAH187_E0048	ACJ82897.1	1.6e-22	2.2e-22
CP003748.1	BCK_26733	AFQ13156.1	0.03	0.042
CP003748.1	BCK_26733	AFQ13156.1	5.9e-06	5.9e-06
CP003748.1	BCK_26508	AFQ13111.1	1.5	1.7
CP001748.1	BACI_pCIXO200080	ADK08253.1	0.00055	0.00076
CP001748.1	BACI_pCIXO200080	ADK08253.1	0.012	0.017
CP001748.1	BACI_pCIXO200080	ADK08253.1	1.2e-14	1.6e-14
CP001748.1	BACI_pCIXO200080	ADK08253.1	8.7e-14	1.3e-13
CP001748.1	BACI_pCIXO200080	ADK08253.1	0.0097	0.0097
CP001748.1	BACI_pCIXO200910	ADK08334.1	1.3	1.4
CP011154.1	WR51_28905	ANC16957.1	0.013	0.018
CP011154.1	WR51_29820	ANC17116.1	0.036	0.053
CP011154.1	WR51_28795	ANC16939.1	0.0042	0.0064
CP011154.1	WR51_29120	ANC16996.1	8e-08	1.1e-07
CP011154.1	WR51_28985	ANC16971.1	1	2.3
CP011154.1	WR51_29725	ANC17099.1	0.22	0.26
CP011154.1	WR51_29300	ANC17024.1	0.24	0.28
CP011154.1	WR51_29635	ANC17083.1	2.3	3
CP011154.1	WR51_28755	ANC16931.1	0.33	0.42
CP011154.1	WR51_29235	ANC17012.1	1.6e-15	2e-15
CP011154.1	WR51_29865	ANC17124.1	2.6e-07	3.3e-07
CP011154.1	WR51_29820	ANC17116.1	5.2e-06	5.2e-06
CP011154.1	WR51_29635	ANC17083.1	8.2	13
CP011152.1	WR47_29760	ANC11278.1	0.013	0.018
CP011152.1	WR47_28850	ANC11120.1	0.036	0.053
CP011152.1	WR47_29870	ANC11296.1	0.0042	0.0064
CP011152.1	WR47_29545	ANC11239.1	8e-08	1.1e-07
CP011152.1	WR47_29680	ANC11264.1	1	2.3
CP011152.1	WR47_28945	ANC11137.1	0.22	0.26
CP011152.1	WR47_29365	ANC11211.1	0.24	0.28
CP011152.1	WR47_29035	ANC11153.1	2.3	3
CP011152.1	WR47_29910	ANC11304.1	0.33	0.42
CP011152.1	WR47_29430	ANC11223.1	1.6e-15	2e-15
CP011152.1	WR47_28805	ANC11112.1	2.6e-07	3.3e-07
CP011152.1	WR47_28850	ANC11120.1	5.2e-06	5.2e-06
CP011152.1	WR47_29035	ANC11153.1	8.2	13
ABDM02000064.1	BC03BB108_D0008	EDX59509.1	0.55	0.71
ABDM02000064.1	BC03BB108_D0008	EDX59509.1	0.00025	0.00035
ABDM02000064.1	BC03BB108_D0007	EDX59541.1	0.91	1.1
ABDM02000064.1	BC03BB108_D0008	EDX59509.1	3.8e-13	3.8e-13
ABDM02000064.1	BC03BB108_D0008	EDX59509.1	1.3e-14	2.4e-14
ABDM02000064.1	BC03BB108_D0008	EDX59509.1	7.6e-06	8.9e-06
ABDM02000064.1	BC03BB108_D0004	EDX59496.1	0.42	0.38
ABDM02000066.1	BC03BB108_F0001	EDX59398.1	0.076	0.08
NC_005707.1	BCE_RS27095	WP_001272214.1	0.27	0.31
NC_005707.1	BCE_RS27120	WP_000081399.1	0.029	0.04
NC_005707.1	BCE_RS27975	WP_000107157.1	0.14	0.23
NC_005707.1	BCE_RS27095	WP_001272214.1	1.4	1.5
NC_005707.1	BCE_RS27095	WP_001272214.1	0.48	0.56
NC_005707.1	BCE_RS27095	WP_001272214.1	0.48	0.61
NC_005707.1	BCE_RS27880	WP_000721639.1	1.4e-20	1.4e-20
NC_005707.1	BCE_RS27120	WP_000081399.1	1.5e-07	1.5e-07
NC_005707.1	BCE_RS27270	WP_001239423.1	1.3	2
CP012486.1	ACN91_27635	ALC55302.1	0.32	0.35
CP012486.1	ACN91_27630	ALC55301.1	0.058	0.062
CP012486.1	ACN91_27630	ALC55301.1	0.0047	0.0052
CP012486.1	ACN91_27630	ALC55301.1	0.029	0.03
CP012486.1	ACN91_27630	ALC55301.1	0.14	0.16
NZ_CP027923.1	C1N82_RS32125	WP_162281240.1	0.011	0.018
NZ_CP027923.1	C1N82_RS32125	WP_162281240.1	4.2e-10	1.6e-08
NZ_CP027923.1	C1N82_RS32125	WP_162281240.1	1.2e-12	1.7e-12
NZ_CP027923.1	C1N82_RS32280	WP_012552763.1	4.2	4
NZ_CP027923.1	C1N82_RS32125	WP_162281240.1	0.003	0.0043
NZ_CP027922.1	C1N82_RS31800	WP_070180414.1	2.9	9.2
NZ_CP027922.1	C1N82_RS31800	WP_070180414.1	1.6e-22	2.2e-22
NZ_CP028014.1	C1N66_RS31600	WP_162281240.1	0.011	0.018
NZ_CP028014.1	C1N66_RS31600	WP_162281240.1	4.2e-10	1.6e-08
NZ_CP028014.1	C1N66_RS31600	WP_162281240.1	1.2e-12	1.7e-12
NZ_CP028014.1	C1N66_RS31625	WP_012552763.1	4.2	4
NZ_CP028014.1	C1N66_RS31600	WP_162281240.1	0.003	0.0043
NZ_CP028013.1	C1N66_RS31125	WP_070180414.1	2.9	9.2
NZ_CP028013.1	C1N66_RS31125	WP_070180414.1	1.6e-22	2.2e-22
CP028014.1	C1N66_32370	QHV47690.1	0.011	0.018
CP028014.1	C1N66_32370	QHV47690.1	4.2e-10	1.6e-08
CP028014.1	C1N66_32370	QHV47690.1	1.2e-12	1.7e-12
CP028014.1	C1N66_32395	QHV47695.1	4.2	4
CP028014.1	C1N66_32370	QHV47690.1	0.003	0.0043
CP028013.1	C1N66_31890	QHV47600.1	2.9	9.2
CP028013.1	C1N66_31890	QHV47600.1	1.6e-22	2.2e-22
CP027923.1	C1N82_33765	QHV08160.1	0.011	0.018
CP027923.1	C1N82_33765	QHV08160.1	4.2e-10	1.6e-08
CP027923.1	C1N82_33765	QHV08160.1	1.2e-12	1.7e-12
CP027923.1	C1N82_33920	QHV08191.1	4.2	4
CP027923.1	C1N82_33765	QHV08160.1	0.003	0.0043
CP027922.1	C1N82_33430	QHV08098.1	2.9	9.2
CP027922.1	C1N82_33430	QHV08098.1	1.6e-22	2.2e-22
NZ_CP029457.1	FORC087_RS30720	-	0.00042	0.00044
NZ_CP029457.1	FORC087_RS30720	-	0.0035	0.0039
NZ_CP029457.1	FORC087_RS30290	WP_139895017.1	1.5e-06	1.3e-05
NZ_CP029457.1	FORC087_RS30715	-	1.7	2.2
NZ_CP029457.1	FORC087_RS30425	WP_016513719.1	0.07	0.097
NZ_CP029457.1	FORC087_RS30720	-	0.15	0.16
NZ_CP029457.1	FORC087_RS30290	WP_139895017.1	0.25	0.036
NZ_CP029457.1	FORC087_RS30715	-	0.77	1
NZ_CP029457.1	FORC087_RS30715	-	0.007	0.0093
NZ_CP029457.1	FORC087_RS30345	WP_139895020.1	0.2	0.24
NZ_CP029457.1	FORC087_RS30720	-	0.11	0.12
NZ_CP029457.1	FORC087_RS30715	-	0.8	0.99
NZ_CP029457.1	FORC087_RS30290	WP_139895017.1	0.41	0.97
NZ_CP029457.1	FORC087_RS30290	WP_139895017.1	1	0.011
NZ_CP029457.1	FORC087_RS30480	WP_139895025.1	0.0001	0.00012
NZ_CP029457.1	FORC087_RS30475	WP_000734525.1	3.6	3.8
NZ_CP029457.1	FORC087_RS30715	-	0.0015	0.002
NZ_CP029456.1	FORC087_RS29950	WP_139894969.1	0.0087	0.0095
NZ_CP029456.1	FORC087_RS30110	WP_139894989.1	3.4	10
NZ_CP029456.1	FORC087_RS30110	WP_139894989.1	9.2e-23	1.2e-22
NZ_CP029455.1	FORC087_RS28070	WP_139894847.1	0.14	0.17
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	1.7e-50	8.9e-32
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	1.5e-25	2.3e-19
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	2.3e-26	2.7e-25
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	5.9e-18	9.7e-16
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	3.1e-11	0.00069
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	1.3e-06	1e-05
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	3e-24	1.1e-12
NZ_CP029455.1	FORC087_RS28060	WP_087967556.1	0.15	0.15
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	7.8e-08	7.8e-08
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	3.6e-16	1.5e-11
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	2.3e-67	1.6e-66
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	3.2e-11	1.6e-08
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	5.4e-10	3.1e-09
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	1.4e-16	1.7e-07
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	7e-28	4.2e-12
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	4.8e-22	3e-12
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	0.022	0.05
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	9.9e-44	1.1e-39
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	7.2e-09	7.2e-09
NZ_CP029455.1	FORC087_RS28060	WP_087967556.1	0.24	0.32
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	9.4e-13	2.7e-07
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	2.1e-11	5.5e-06
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	4.6e-08	3.3e-06
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	3.9e-44	3e-24
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	5.7e-19	3.6e-18
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	7.3e-63	2.4e-33
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	8e-67	1.1e-34
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	7.3e-45	4e-18
NZ_CP029455.1	FORC087_RS29175	WP_087965575.1	0.11	0.14
NZ_CP029455.1	FORC087_RS28515	WP_139894862.1	0.81	0.98
