Plasmids	locus_tag	protein_id	E-value_1	E-value_2
DQ889678.1	pPER272_0177	ABK01230.1	2.8e-12	9.9e-11
DQ889678.1	pPER272_0163	ABK01085.1	5.8e-09	2.2e-07
DQ889678.1	pPER272_0092	ABK01258.1	2.8e-06	0.044
DQ889678.1	pPER272_0134	ABK01113.1	3.3e-05	0.00025
DQ889678.1	pPER272_0119	ABK01184.1	5.9e-05	0.0062
DQ889678.1	pPER272_0180	ABK01080.1	0.02	0.4
DQ889677.1	pPER272_AH820_0255	ABK00790.1	2.2e-12	7.7e-05
DQ889677.1	pPER272_AH820_0072	ABK00784.1	0.0002	0.013
DQ889677.1	pPER272_AH820_0255	ABK00790.1	1.8e-23	6e-13
DQ889677.1	pPER272_AH820_0072	ABK00784.1	2.7e-07	5.5e-07
DQ889677.1	pPER272_AH820_0249	ABK00983.1	7.1e-05	0.0043
DQ889677.1	pPER272_AH820_0255	ABK00790.1	4.7e-18	4e-07
DQ889677.1	pPER272_AH820_0072	ABK00784.1	0.0007	0.0039
DQ889677.1	pPER272_AH820_0249	ABK00983.1	0.017	0.031
DQ889677.1	pPER272_AH820_0177	ABK00966.1	4.4e-21	6.6e-20
DQ889677.1	pPER272_AH820_0183	ABK00988.1	5.9e-21	1.3e-19
DQ889677.1	pPER272_AH820_0163	ABK00820.1	1.1e-15	5e-14
DQ889677.1	pPER272_AH820_0092	ABK00994.1	8.9e-15	3.6e-08
DQ889677.1	pPER272_AH820_0134	ABK00848.1	1.4e-14	2e-14
DQ889677.1	pPER272_AH820_0180	ABK00815.1	6.7e-12	2.9e-11
DQ889677.1	pPER272_AH820_0119	ABK00919.1	2.1e-11	5.7e-10
DQ889677.1	pPER272_AH820_0121	ABK00964.1	0.13	0.16
DQ889677.1	pPER272_AH820_0255	ABK00790.1	5.2e-08	0.0023
DQ889677.1	pPER272_AH820_0072	ABK00784.1	0.16	0.22
DQ889677.1	pPER272_AH820_0255	ABK00790.1	4.2e-26	2.1e-12
DQ889677.1	pPER272_AH820_0072	ABK00784.1	1.2e-06	5.3e-06
DQ889677.1	pPER272_AH820_0249	ABK00983.1	0.019	0.037
DQ889677.1	pPER272_AH820_0255	ABK00790.1	5.4e-06	0.13
DQ889677.1	pPER272_AH820_0072	ABK00784.1	0.2	0.32
DQ889677.1	pPER272_AH820_0255	ABK00790.1	5.4e-16	5.1e-07
DQ889677.1	pPER272_AH820_0072	ABK00784.1	0.00084	0.0064
DQ889677.1	pPER272_AH820_0072	ABK00784.1	1.3e-07	2.6e-07
DQ889677.1	pPER272_AH820_0255	ABK00790.1	7.4e-06	0.0032
DQ889677.1	pPER272_AH820_0183	ABK00988.1	1.6e-12	3.1e-07
DQ889677.1	pPER272_AH820_0177	ABK00966.1	2.8e-12	9.9e-11
DQ889677.1	pPER272_AH820_0163	ABK00820.1	5.8e-09	2.2e-07
DQ889677.1	pPER272_AH820_0092	ABK00994.1	2.8e-06	0.044
DQ889677.1	pPER272_AH820_0134	ABK00848.1	3.3e-05	0.00025
DQ889677.1	pPER272_AH820_0119	ABK00919.1	5.9e-05	0.0062
DQ889677.1	pPER272_AH820_0180	ABK00815.1	0.02	0.4
DQ889676.1	BcAH187_pCER270_0102	ABK00526.1	0.00021	0.013
DQ889676.1	BcAH187_pCER270_0102	ABK00526.1	2.7e-07	5.3e-07
DQ889676.1	BcAH187_pCER270_0102	ABK00526.1	0.00065	0.0031
DQ889676.1	BcAH187_pCER270_0189	ABK00612.1	0.3	1.7
DQ889676.1	BcAH187_pCER270_0182	ABK00580.1	2.6e-20	5.6e-19
DQ889676.1	BcAH187_pCER270_0184	ABK00641.1	7e-19	1.5e-17
DQ889676.1	BcAH187_pCER270_0210	ABK00593.1	1.1e-15	5e-14
DQ889676.1	BcAH187_pCER270_0133	ABK00650.1	1.5e-14	6.1e-08
DQ889676.1	BcAH187_pCER270_0194	ABK00623.1	4.9e-12	6.2e-12
DQ889676.1	BcAH187_pCER270_0102	ABK00526.1	0.14	0.19
DQ889676.1	BcAH187_pCER270_0102	ABK00526.1	6.9e-07	3e-06
DQ889676.1	BcAH187_pCER270_0102	ABK00526.1	0.19	0.29
DQ889676.1	BcAH187_pCER270_0102	ABK00526.1	0.00085	0.0064
DQ889676.1	BcAH187_pCER270_0102	ABK00526.1	1.4e-07	2.7e-07
DQ889676.1	BcAH187_pCER270_0182	ABK00580.1	1.6e-11	3.3e-06
DQ889676.1	BcAH187_pCER270_0184	ABK00641.1	2e-11	1.1e-09
DQ889676.1	BcAH187_pCER270_0210	ABK00593.1	5.8e-09	2.2e-07
DQ889676.1	BcAH187_pCER270_0133	ABK00650.1	5.4e-06	0.044
DQ889676.1	BcAH187_pCER270_0194	ABK00623.1	0.00089	0.0022
CP024657.1	CSW12_30375	AUB67156.1	2.5e-19	8.6e-18
CP024657.1	CSW12_30390	AUB67159.1	2.5e-18	5e-17
CP024657.1	CSW12_30130	AUB67119.1	2.5e-14	2.8e-13
CP024657.1	CSW12_30235	AUB67135.1	5.1e-13	7.6e-13
CP024657.1	CSW12_30320	-	1.4e-10	1.6e-09
CP024657.1	CSW12_30145	-	2.8e-06	4e-06
CP024657.1	CSW12_30040	AUB67104.1	0.001	0.0016
CP024657.1	CSW12_30385	AUB67158.1	0.024	0.048
CP024657.1	CSW12_30390	AUB67159.1	1.5e-10	1.8e-08
CP024657.1	CSW12_30375	AUB67156.1	1.5e-09	1.1e-07
CP024657.1	CSW12_30235	AUB67135.1	4.7e-05	0.00013
CP024657.1	CSW12_30130	AUB67119.1	0.0001	0.0057
CP024657.1	CSW12_30320	-	0.0021	0.01
CP024657.1	CSW12_30145	-	0.11	0.13
CP009592.1	AQ16_5641	AJI08158.1	0.00011	0.0033
CP009592.1	AQ16_5641	AJI08158.1	1.3e-09	2.7e-09
CP009592.1	AQ16_5641	AJI08158.1	1.3e-05	0.0026
CP009592.1	AQ16_5700	AJI08288.1	4.7e-15	1.7e-07
CP009592.1	AQ16_5641	AJI08158.1	3.2e-07	1.9e-06
CP009592.1	AQ16_5641	AJI08158.1	0.23	0.35
CP009592.1	AQ16_5641	AJI08158.1	0.001	0.0046
CP009592.1	AQ16_5641	AJI08158.1	2.2e-07	7.6e-07
CP009592.1	AQ16_5700	AJI08288.1	5e-08	0.004
AE017195.1	BCE_A0156	AAS45006.1	2.2e-12	7.7e-05
AE017195.1	BCE_A0053	AAS44903.1	0.0022	0.034
AE017195.1	BCE_A0156	AAS45006.1	1.8e-23	6e-13
AE017195.1	BCE_A0053	AAS44903.1	6.7e-07	1.4e-06
AE017195.1	BCE_A0164	AAS45014.1	7.1e-05	0.0043
AE017195.1	BCE_A0156	AAS45006.1	4.7e-18	4e-07
AE017195.1	BCE_A0053	AAS44903.1	0.00061	0.0039
AE017195.1	BCE_A0164	AAS45014.1	0.017	0.031
AE017195.1	BCE_A0156	AAS45006.1	5.2e-08	0.0023
AE017195.1	BCE_A0053	AAS44903.1	0.16	0.22
AE017195.1	BCE_A0156	AAS45006.1	4.2e-26	2.1e-12
AE017195.1	BCE_A0053	AAS44903.1	1.2e-06	5.2e-06
AE017195.1	BCE_A0164	AAS45014.1	0.019	0.037
AE017195.1	BCE_A0156	AAS45006.1	5.4e-06	0.13
AE017195.1	BCE_A0053	AAS44903.1	0.23	0.33
AE017195.1	BCE_A0156	AAS45006.1	5.4e-16	5.1e-07
AE017195.1	BCE_A0053	AAS44903.1	0.0052	0.036
AE017195.1	BCE_A0053	AAS44903.1	2.6e-06	8.3e-06
AE017195.1	BCE_A0156	AAS45006.1	7.4e-06	0.0032
CP001747.1	BACI_pCIXO100770	ADK08112.1	9.1e-05	0.0022
CP001747.1	BACI_pCIXO100770	ADK08112.1	1.5e-09	3.2e-09
CP001747.1	BACI_pCIXO100770	ADK08112.1	1.4e-05	0.0026
CP001747.1	BACI_pCIXO101450	ADK08180.1	2.9e-15	2.6e-08
CP001747.1	BACI_pCIXO100770	ADK08112.1	2.5e-07	1.5e-06
CP001747.1	BACI_pCIXO100770	ADK08112.1	0.24	0.39
CP001747.1	BACI_pCIXO100770	ADK08112.1	0.001	0.0046
CP001747.1	BACI_pCIXO100770	ADK08112.1	2.5e-07	7.3e-07
CP001747.1	BACI_pCIXO101450	ADK08180.1	6.4e-08	0.00079
CP024658.1	CSW12_31260	AUB67300.1	1.3e-14	1e-12
CP024658.1	CSW12_30645	AUB67197.1	4.5e-14	3.4e-12
CP024658.1	CSW12_30680	AUB67307.1	6.2e-13	8.9e-13
CP024658.1	CSW12_30655	AUB67199.1	0.11	0.11
CP024658.1	CSW12_31260	AUB67300.1	7.7e-08	3.3e-06
CP024658.1	CSW12_30645	AUB67197.1	5.7e-05	0.00011
CP024658.1	CSW12_30680	AUB67307.1	0.00028	0.00075
CP024656.1	CSW12_29145	AUB66960.1	1.5e-19	5.8e-18
CP024656.1	CSW12_29675	AUB67043.1	1.5e-19	5.8e-18
CP024656.1	CSW12_29620	AUB67034.1	7.5e-15	8.4e-14
CP024656.1	CSW12_29145	AUB66960.1	1.8e-12	2.2e-10
CP024656.1	CSW12_29675	AUB67043.1	1.8e-12	2.2e-10
CP024656.1	CSW12_29620	AUB67034.1	6.8e-05	0.0038
CP009299.1	AW22_5849	AJG56775.1	6.4e-12	0.00013
CP009299.1	AW22_5810	AJG56706.1	1.7e-05	0.00096
CP009299.1	AW22_5849	AJG56775.1	2.5e-23	2.8e-12
CP009299.1	AW22_5810	AJG56706.1	7.3e-09	1.5e-08
CP009299.1	AW22_5849	AJG56775.1	1.9e-18	3.9e-07
CP009299.1	AW22_5810	AJG56706.1	2.5e-05	0.0029
CP009299.1	AW22_5660	AJG56742.1	2.6e-20	5.6e-19
CP009299.1	AW22_5832	AJG56682.1	1.9e-06	0.02
CP009299.1	AW22_5843	AJG56737.1	5.6e-05	0.0034
CP009299.1	AW22_5849	AJG56775.1	4.6e-08	0.0015
CP009299.1	AW22_5810	AJG56706.1	0.21	0.36
CP009299.1	AW22_5849	AJG56775.1	4.9e-25	1.7e-11
CP009299.1	AW22_5810	AJG56706.1	7.7e-08	4.8e-07
CP009299.1	AW22_5849	AJG56775.1	5.3e-07	0.038
CP009299.1	AW22_5810	AJG56706.1	0.32	0.62
CP009299.1	AW22_5849	AJG56775.1	1.2e-16	1.9e-07
CP009299.1	AW22_5810	AJG56706.1	0.00031	0.0021
CP009299.1	AW22_5810	AJG56706.1	5.4e-08	1.6e-07
CP009299.1	AW22_5849	AJG56775.1	6.7e-06	0.0097
CP009299.1	AW22_5849	AJG56775.1	0.29	16
CP009299.1	AW22_5660	AJG56742.1	1.6e-11	3.3e-06
CP009299.1	AW22_5832	AJG56682.1	0.0085	2.8
CP009299.1	AW22_5843	AJG56737.1	0.096	0.62
CP001285.1	BCAH820_B0306	ACK92776.1	2.2e-12	7.7e-05
CP001285.1	BCAH820_B0085	ACK92943.1	0.00023	0.015
CP001285.1	BCAH820_B0306	ACK92776.1	1.8e-23	6e-13
CP001285.1	BCAH820_B0085	ACK92943.1	3e-07	6.1e-07
CP001285.1	BCAH820_B0298	ACK92651.1	7.1e-05	0.0043
CP001285.1	BCAH820_B0306	ACK92776.1	4.7e-18	4e-07
CP001285.1	BCAH820_B0085	ACK92943.1	0.00077	0.0041
CP001285.1	BCAH820_B0298	ACK92651.1	0.017	0.031
CP001285.1	BCAH820_B0216	ACK92694.1	7.6e-21	1.2e-19
CP001285.1	BCAH820_B0222	ACK92877.1	9.2e-21	2.1e-19
CP001285.1	BCAH820_B0202	ACK92842.1	1.1e-15	5e-14
CP001285.1	BCAH820_B0119	ACK92834.1	8.9e-15	3.6e-08
CP001285.1	BCAH820_B0167	ACK92706.1	1.1e-14	1.3e-14
CP001285.1	BCAH820_B0219	ACK92723.1	6.7e-12	2.9e-11
CP001285.1	BCAH820_B0149	ACK92653.1	2.1e-11	5.7e-10
CP001285.1	BCAH820_B0151	ACK92830.1	0.1	0.13
CP001285.1	BCAH820_B0306	ACK92776.1	5.2e-08	0.0023
CP001285.1	BCAH820_B0085	ACK92943.1	0.084	0.12
CP001285.1	BCAH820_B0306	ACK92776.1	4.2e-26	2.1e-12
CP001285.1	BCAH820_B0085	ACK92943.1	1.3e-06	6e-06
CP001285.1	BCAH820_B0298	ACK92651.1	0.019	0.037
CP001285.1	BCAH820_B0306	ACK92776.1	5.4e-06	0.13
CP001285.1	BCAH820_B0085	ACK92943.1	0.13	0.21
CP001285.1	BCAH820_B0306	ACK92776.1	5.4e-16	5.1e-07
CP001285.1	BCAH820_B0085	ACK92943.1	0.00095	0.0072
CP001285.1	BCAH820_B0085	ACK92943.1	1.5e-07	2.9e-07
CP001285.1	BCAH820_B0306	ACK92776.1	7.4e-06	0.0032
CP001285.1	BCAH820_B0222	ACK92877.1	1.6e-12	2.9e-07
CP001285.1	BCAH820_B0216	ACK92694.1	2.6e-12	9e-11
CP001285.1	BCAH820_B0202	ACK92842.1	5.8e-09	2.2e-07
CP001285.1	BCAH820_B0119	ACK92834.1	2.8e-06	0.044
CP001285.1	BCAH820_B0167	ACK92706.1	4.6e-05	0.00034
CP001285.1	BCAH820_B0149	ACK92653.1	5.9e-05	0.0062
CP001285.1	BCAH820_B0219	ACK92723.1	0.02	0.4
CP029457.1	FORC087_643	QDD87426.1	2.6e-18	5.5e-18
CP029457.1	FORC087_643	QDD87426.1	3.2e-35	4.2e-35
CP029457.1	FORC087_643	QDD87426.1	2.4e-17	1.2e-09
CP029457.1	FORC087_703	QDD87486.1	6.3e-19	4.2e-17
CP029457.1	FORC087_643	QDD87426.1	1.8e-19	2.6e-19
CP029457.1	FORC087_643	QDD87426.1	4.9e-36	6.1e-36
CP029457.1	FORC087_643	QDD87426.1	1.4e-12	2.2e-12
CP029457.1	FORC087_643	QDD87426.1	2.8e-16	3.3e-16
CP029457.1	FORC087_643	QDD87426.1	4.5e-06	9.9e-06
CP029457.1	FORC087_643	QDD87426.1	1.5e-20	1.5e-19
CP029457.1	FORC087_643	QDD87426.1	1.1e-18	3.2e-18
CP029457.1	FORC087_643	QDD87426.1	7.5e-08	4.4e-06
CP029457.1	FORC087_703	QDD87486.1	2.3e-09	1.4e-07
CP020940.1	B2J90_29895	ARO21624.1	0.00011	0.0033
CP020940.1	B2J90_29895	ARO21624.1	1.3e-09	2.7e-09
CP020940.1	B2J90_29895	ARO21624.1	1.3e-05	0.0026
CP020940.1	B2J90_30185	ARO21675.1	2.9e-15	2.6e-08
CP020940.1	B2J90_29895	ARO21624.1	3.2e-07	1.9e-06
CP020940.1	B2J90_29895	ARO21624.1	0.23	0.35
CP020940.1	B2J90_29895	ARO21624.1	0.001	0.0046
CP020940.1	B2J90_29895	ARO21624.1	2.2e-07	7.6e-07
CP020940.1	B2J90_30185	ARO21675.1	6.4e-08	0.00079
CP001179.1	BCAH187_C0113	ACJ82678.1	0.00021	0.013
CP001179.1	BCAH187_C0113	ACJ82678.1	2.7e-07	5.3e-07
CP001179.1	BCAH187_C0113	ACJ82678.1	0.00065	0.0031
CP001179.1	BCAH187_C0211	ACJ82736.1	0.3	1.7
CP001179.1	BCAH187_C0204	ACJ82812.1	2.6e-20	5.6e-19
CP001179.1	BCAH187_C0206	ACJ82762.1	7e-19	1.5e-17
CP001179.1	BCAH187_C0233	ACJ82659.1	1.1e-15	5e-14
CP001179.1	BCAH187_C0149	ACJ82860.1	1.5e-14	6.1e-08
CP001179.1	BCAH187_C0216	ACJ82840.1	4.9e-12	6.2e-12
CP001179.1	BCAH187_C0212	ACJ82650.1	0.0077	0.0093
CP001179.1	BCAH187_C0113	ACJ82678.1	0.14	0.19
CP001179.1	BCAH187_C0113	ACJ82678.1	6.9e-07	3e-06
CP001179.1	BCAH187_C0113	ACJ82678.1	0.19	0.29
CP001179.1	BCAH187_C0113	ACJ82678.1	0.00085	0.0064
CP001179.1	BCAH187_C0113	ACJ82678.1	1.4e-07	2.7e-07
CP001179.1	BCAH187_C0204	ACJ82812.1	1.6e-11	3.3e-06
CP001179.1	BCAH187_C0206	ACJ82762.1	2e-11	1.1e-09
CP001179.1	BCAH187_C0233	ACJ82659.1	5.8e-09	2.2e-07
CP001179.1	BCAH187_C0149	ACJ82860.1	5.4e-06	0.044
CP001179.1	BCAH187_C0216	ACJ82840.1	0.00089	0.0022
CP001166.1	BCH308197_A0147	ACI30241.1	9.5e-05	0.0052
CP001166.1	BCH308197_A0147	ACI30241.1	2.7e-07	5.7e-07
CP001166.1	BCH308197_A0147	ACI30241.1	0.00064	0.0039
CP001166.1	BCH308197_A0040	ACI30251.1	4.4e-21	6.6e-20
CP001166.1	BCH308197_A0054	ACI30362.1	8.8e-16	4e-14
CP001166.1	BCH308197_A0111	ACI30432.1	1.5e-14	6.1e-08
CP001166.1	BCH308197_A0037	ACI30253.1	1e-11	5.1e-11
CP001166.1	BCH308197_A0147	ACI30241.1	0.16	0.22
CP001166.1	BCH308197_A0147	ACI30241.1	8.3e-07	3.5e-06
CP001166.1	BCH308197_A0147	ACI30241.1	0.2	0.32
CP001166.1	BCH308197_A0147	ACI30241.1	0.00078	0.0072
CP001166.1	BCH308197_A0147	ACI30241.1	3e-07	9.3e-07
CP001166.1	BCH308197_A0040	ACI30251.1	2.8e-12	9.9e-11
CP001166.1	BCH308197_A0054	ACI30362.1	4.7e-09	1.8e-07
CP001166.1	BCH308197_A0111	ACI30432.1	5.4e-06	0.044
CP001166.1	BCH308197_A0037	ACI30253.1	0.025	0.5
CP009639.1	AK40_5530	AJI08954.1	0.023	1.3
CP009639.1	AK40_5564	AJI08909.1	0.037	0.14
CP009639.1	AK40_5774	AJI08944.1	2.3e-19	8.1e-18
CP009639.1	AK40_5564	AJI08909.1	0.35	0.6
CP009639.1	AK40_5774	AJI08944.1	1.2e-09	9.4e-08
CP009317.1	AS54_5555	AJG51186.1	6.7e-05	0.0036
CP009317.1	AS54_5555	AJG51186.1	7.5e-08	1.4e-07
CP009317.1	AS54_5555	AJG51186.1	0.00058	0.0041
CP009317.1	AS54_5555	AJG51186.1	0.19	0.27
CP009317.1	AS54_5555	AJG51186.1	1.7e-06	7.9e-06
CP009317.1	AS54_5555	AJG51186.1	0.3	0.45
CP009317.1	AS54_5555	AJG51186.1	0.0064	0.045
CP009317.1	AS54_5555	AJG51186.1	1.3e-07	3.1e-07
CP001406.1	BCA_A0065	ACO25775.1	6.7e-05	0.0036
CP001406.1	BCA_A0065	ACO25775.1	7.5e-08	1.4e-07
CP001406.1	BCA_A0065	ACO25775.1	0.00058	0.0041
CP001406.1	BCA_A0065	ACO25775.1	0.19	0.27
CP001406.1	BCA_A0065	ACO25775.1	1.7e-06	7.9e-06
CP001406.1	BCA_A0065	ACO25775.1	0.3	0.45
CP001406.1	BCA_A0065	ACO25775.1	0.0064	0.045
CP001406.1	BCA_A0065	ACO25775.1	1.3e-07	3.1e-07
CP000228.1	BCQ_PI108	ACM15842.1	0.042	0.097
CP000228.1	BCQ_PI155	ACM15889.1	3.8e-21	5e-21
CP000228.1	BCQ_PI056	ACM15790.1	8.6e-18	1.5e-16
CP000228.1	BCQ_PI072	ACM15806.1	4.8e-17	7.6e-16
CP000228.1	BCQ_PI182	ACM15916.1	6.4e-14	8.1e-14
CP000228.1	BCQ_PI056	ACM15790.1	1e-09	8.7e-08
CP000228.1	BCQ_PI155	ACM15889.1	3.8e-09	4.8e-09
CP000228.1	BCQ_PI072	ACM15806.1	6.3e-07	1.5e-06
CP000228.1	BCQ_PI182	ACM15916.1	0.0005	0.004
ABDM02000062.1	BC03BB108_B0176	EDX59999.1	0.023	1.3
ABDM02000062.1	BC03BB108_B0210	EDX59788.1	0.037	0.14
ABDM02000062.1	BC03BB108_B0083	EDX59783.1	2.3e-19	8.1e-18
ABDM02000062.1	BC03BB108_B0210	EDX59788.1	0.35	0.6
ABDM02000062.1	BC03BB108_B0083	EDX59783.1	1.2e-09	9.4e-08
ABDM02000063.1	BC03BB108_C0067	EDX59625.1	9.5e-05	0.0052
ABDM02000063.1	BC03BB108_C0067	EDX59625.1	2.7e-07	5.7e-07
ABDM02000063.1	BC03BB108_C0067	EDX59625.1	0.00064	0.0039
ABDM02000063.1	BC03BB108_C0067	EDX59625.1	0.16	0.22
ABDM02000063.1	BC03BB108_C0067	EDX59625.1	8.3e-07	3.5e-06
ABDM02000063.1	BC03BB108_C0067	EDX59625.1	0.2	0.32
ABDM02000063.1	BC03BB108_C0067	EDX59625.1	0.00078	0.0072
ABDM02000063.1	BC03BB108_C0067	EDX59625.1	3e-07	9.3e-07
CP027921.1	C1N82_32000	QHV07834.1	4.2e-05	0.0024
CP027921.1	C1N82_32000	QHV07834.1	2.7e-09	5.5e-09
CP027921.1	C1N82_32000	QHV07834.1	0.0003	0.0035
CP027921.1	C1N82_33070	-	3.8e-13	5.5e-13
CP027921.1	C1N82_32000	QHV07834.1	0.17	0.24
CP027921.1	C1N82_32000	QHV07834.1	9.8e-07	3e-06
CP027921.1	C1N82_32000	QHV07834.1	0.23	0.33
CP027921.1	C1N82_32000	QHV07834.1	0.01	0.045
CP027921.1	C1N82_32000	QHV07834.1	1.5e-07	3.4e-07
CP027921.1	C1N82_33070	-	0.00021	0.037
CP046513.1	GNE09_30125	QGV10754.1	4.1e-05	0.0012
CP046513.1	GNE09_30125	QGV10754.1	7.4e-10	1.5e-09
CP046513.1	GNE09_30125	QGV10754.1	7.3e-05	0.0039
CP046513.1	GNE09_30125	QGV10754.1	0.38	0.56
CP046513.1	GNE09_30125	QGV10754.1	2.1e-07	8.7e-07
CP046513.1	GNE09_30125	QGV10754.1	0.0013	0.0075
CP046513.1	GNE09_30125	QGV10754.1	2.4e-07	7.2e-07
CP029456.1	FORC087_614	QDD87397.1	1.1e-14	1.4e-14
CP029456.1	FORC087_614	QDD87397.1	3.1e-05	0.00022
CP018742.1	FORC47_p284	ASL62636.1	8.7e-18	8.7e-18
CP018742.1	FORC47_p284	ASL62636.1	4.1e-37	5.1e-37
CP018742.1	FORC47_p284	ASL62636.1	9.4e-20	1e-10
CP018742.1	FORC47_p284	ASL62636.1	3.8e-21	5.2e-21
CP018742.1	FORC47_p284	ASL62636.1	6.8e-39	8.4e-39
CP018742.1	FORC47_p284	ASL62636.1	2.6e-14	3.3e-14
CP018742.1	FORC47_p284	ASL62636.1	2.2e-16	2.6e-16
CP018742.1	FORC47_p452	ASL62804.1	0.021	5
CP018742.1	FORC47_p284	ASL62636.1	6e-08	1.1e-07
CP018742.1	FORC47_p284	ASL62636.1	7.5e-21	6.9e-20
CP018742.1	FORC47_p284	ASL62636.1	9.1e-18	2.2e-17
CP018742.1	FORC47_p284	ASL62636.1	9.9e-09	1.1e-07
CP016361.1	BA201_27935	ASK17745.1	0.045	0.22
CP016361.1	BA201_27935	ASK17745.1	0.069	0.2
CP016361.1	BA201_27740	ASK17709.1	4.4e-21	6.6e-20
CP016361.1	BA201_27670	ASK17696.1	1.1e-15	5e-14
CP016361.1	BA201_27750	ASK17711.1	1e-11	5.1e-11
CP016361.1	BA201_27740	ASK17709.1	2.8e-12	9.9e-11
CP016361.1	BA201_27670	ASK17696.1	5.8e-09	2.2e-07
CP016361.1	BA201_27750	ASK17711.1	0.025	0.5
CP016317.1	BA202_26970	ASI80905.1	3.5e-19	1.2e-17
CP016317.1	BA202_27960	ASI81083.1	4.9e-18	8.8e-16
CP016317.1	BA202_27690	ASI81038.1	1.1e-15	5e-14
CP016317.1	BA202_27130	ASI80935.1	2.1e-12	4.7e-11
CP016317.1	BA202_27640	ASI81028.1	8.1e-10	2.1e-08
CP016317.1	BA202_26970	ASI80905.1	2.8e-10	3e-08
CP016317.1	BA202_27690	ASI81038.1	5.8e-09	2.2e-07
CP016317.1	BA202_27960	ASI81083.1	2.6e-08	0.0044
CP016317.1	BA202_27130	ASI80935.1	2.9e-05	0.0015
CP016317.1	BA202_27640	ASI81028.1	0.0042	0.046
CP003748.1	BCK_26863	AFQ13182.1	0.0023	0.036
CP003748.1	BCK_26863	AFQ13182.1	1.2e-06	2.5e-06
CP003748.1	BCK_26863	AFQ13182.1	0.00084	0.0039
CP003748.1	BCK_26343	AFQ13080.1	4.9e-18	8.8e-16
CP003748.1	BCK_26258	AFQ13065.1	2.1e-12	4.7e-11
CP003748.1	BCK_26558	AFQ13121.1	0.0021	0.0021
CP003748.1	BCK_26863	AFQ13182.1	0.16	0.22
CP003748.1	BCK_26863	AFQ13182.1	2.6e-06	8.7e-06
CP003748.1	BCK_26863	AFQ13182.1	0.23	0.33
CP003748.1	BCK_26863	AFQ13182.1	0.0059	0.04
CP003748.1	BCK_26863	AFQ13182.1	2.8e-06	9e-06
CP003748.1	BCK_26343	AFQ13080.1	2.6e-08	0.0044
CP003748.1	BCK_26258	AFQ13065.1	2.9e-05	0.0015
CP003748.1	BCK_26558	AFQ13121.1	0.14	0.13
CP001748.1	BACI_pCIXO200400	ADK08284.1	4.4e-20	9.8e-20
CP001748.1	BACI_pCIXO200400	ADK08284.1	4.9e-36	2.4e-35
CP001748.1	BACI_pCIXO200400	ADK08284.1	1.4e-18	1.9e-09
CP001748.1	BACI_pCIXO200400	ADK08284.1	1.4e-16	2.3e-07
CP001748.1	BACI_pCIXO200400	ADK08284.1	2.2e-41	8.8e-40
CP001748.1	BACI_pCIXO200400	ADK08284.1	6.3e-10	7.7e-10
CP001748.1	BACI_pCIXO200400	ADK08284.1	1.2e-16	1.3e-16
CP001748.1	BACI_pCIXO200400	ADK08284.1	0.0057	0.37
CP001748.1	BACI_pCIXO200400	ADK08284.1	3.2e-22	6.2e-21
CP001748.1	BACI_pCIXO200400	ADK08284.1	5.2e-19	8.8e-19
CP001748.1	BACI_pCIXO200400	ADK08284.1	3e-10	9.9e-10
CP011154.1	WR51_29650	ANC17086.1	0.00017	0.014
